Time,Tm,Rh,Na,Np,Li,H2s,Nh3,No2,Pm2,Pm10,Voc
2024-06-09 20:02:09,28,78,46,52,3,0,50,0,9,9,58
2024-06-09 20:07:10,28,78,46,69,3,0,52,0,6,6,61
2024-06-09 20:12:11,28,78,46,102,3,0,53,0,6,6,82
2024-06-09 20:17:11,28,80,46,51,3,0,59,1,8,9,151
2024-06-09 20:22:12,28,78,46,47,3,0,56,0,9,9,70
2024-06-09 20:27:13,28,77,46,52,3,0,52,0,8,8,53
2024-06-09 20:32:14,28,78,46,117,4,0,54,0,11,11,84
2024-06-09 20:37:15,28,78,46,47,3,0,51,0,11,11,69
2024-06-09 20:42:15,28,79,46,47,3,0,60,1,9,9,127
2024-06-09 20:47:16,28,81,46,47,2,0,59,1,13,13,144
2024-06-09 20:52:17,28,80,46,47,3,0,62,1,16,17,100
2024-06-09 20:57:18,28,79,46,65,7,0,59,1,9,9,79
2024-06-09 21:02:18,28,81,46,77,3,0,63,1,11,12,265
2024-06-09 21:07:19,28,78,46,79,3,1,60,1,7,8,48
2024-06-09 21:12:20,28,79,46,58,3,1,61,1,7,8,89
2024-06-09 21:17:21,28,78,46,48,3,0,58,1,15,16,79
2024-06-09 21:22:21,28,78,46,51,3,1,57,1,12,12,65
2024-06-09 21:27:22,28,79,46,63,3,1,64,1,9,10,133
2024-06-09 21:32:23,28,79,46,49,3,0,62,1,7,8,120
2024-06-09 21:37:24,28,78,46,47,4,0,56,1,8,8,54
2024-06-09 21:42:24,28,79,46,66,3,0,58,1,6,6,83
2024-06-09 21:47:25,28,78,46,47,4,0,60,1,6,6,56
2024-06-09 21:52:26,28,79,46,65,3,0,56,1,10,10,61
2024-06-09 21:57:27,28,79,46,47,4,0,56,1,10,10,78
2024-06-09 22:02:27,28,79,46,47,3,0,55,1,12,12,78
2024-06-09 22:07:28,28,80,46,53,4,0,56,1,10,11,80
2024-06-09 22:12:29,28,79,46,49,3,0,55,1,9,9,63
2024-06-09 22:15:59,28,80,46,47,3,0,54,0,10,10,79
2024-06-09 22:21:00,28,80,46,47,4,0,57,1,10,11,125
2024-06-09 22:26:01,28,79,46,47,4,0,55,1,10,11,55
2024-06-09 22:31:01,28,80,46,55,3,0,56,1,12,12,100
2024-06-09 22:36:02,28,80,46,74,3,0,55,1,12,12,92
2024-06-09 22:41:03,28,80,46,115,4,0,53,0,13,13,61
2024-06-09 22:46:04,28,80,46,93,3,0,53,0,13,13,77
2024-06-09 22:51:04,28,80,46,47,2,0,54,0,13,13,71
2024-06-09 22:56:05,28,80,46,47,3,0,55,0,13,13,90
2024-06-09 23:01:06,28,80,46,47,3,0,51,0,12,12,48
2024-06-09 23:06:06,28,81,46,47,3,0,52,0,12,13,61
2024-06-09 23:11:07,28,81,46,54,3,0,52,0,12,12,74
2024-06-09 23:16:08,28,82,46,47,3,0,57,0,11,12,102
2024-06-09 23:21:09,28,80,46,59,3,0,56,0,11,11,67
2024-06-09 23:26:10,28,81,46,47,3,0,55,0,12,12,71
2024-06-09 23:31:10,28,81,46,47,3,0,56,0,11,11,94
2024-06-09 23:36:11,28,82,46,47,3,0,59,1,12,12,111
2024-06-09 23:41:12,28,81,46,88,3,0,58,1,10,10,90
2024-06-09 23:46:13,28,79,46,47,3,0,55,1,10,11,63
2024-06-09 23:51:13,28,80,46,47,3,0,55,1,11,11,94
2024-06-09 23:56:14,28,81,46,47,3,0,62,1,11,11,172
2024-06-10 00:01:15,28,80,46,105,3,0,60,1,11,11,129
2024-06-10 00:06:16,28,80,46,47,2,0,57,1,9,9,115
2024-06-10 00:11:17,28,81,46,47,3,0,57,1,10,10,82
2024-06-10 00:16:18,28,80,46,50,3,0,54,0,11,11,69
2024-06-10 00:21:18,28,81,46,47,4,0,53,0,10,10,110
2024-06-10 00:26:19,28,80,46,47,3,0,55,0,9,9,86
2024-06-10 00:31:20,28,82,46,47,3,0,60,1,9,10,200
2024-06-10 00:36:21,28,80,46,47,3,0,56,0,10,11,86
2024-06-10 00:41:21,28,80,46,47,3,0,56,1,9,10,102
2024-06-10 00:46:22,28,80,46,47,3,0,57,1,9,9,80
2024-06-10 00:51:23,28,80,46,47,2,0,55,0,8,8,67
2024-06-10 00:56:23,28,81,46,48,3,0,57,1,9,9,111
2024-06-10 01:01:24,28,81,46,47,3,1,61,1,8,8,140
2024-06-10 01:06:25,28,80,46,67,3,0,61,1,9,9,114
2024-06-10 01:11:26,28,81,46,56,3,0,59,1,9,9,100
2024-06-10 01:16:26,28,79,46,47,3,0,54,1,8,8,55
2024-06-10 01:21:27,28,78,46,48,3,0,55,1,8,8,42
2024-06-10 01:26:28,28,78,46,47,1,0,56,1,8,8,110
2024-06-10 01:31:29,28,79,46,47,3,0,60,1,8,8,173
2024-06-10 01:36:29,28,78,46,47,3,0,61,1,8,8,86
2024-06-10 01:41:30,28,80,46,47,3,1,60,1,7,7,192
2024-06-10 01:46:31,28,79,46,47,3,4,63,1,7,7,169
2024-06-10 01:51:31,28,79,46,48,3,0,62,1,8,8,123
2024-06-10 01:56:32,28,80,46,47,3,0,60,1,7,8,93
2024-06-10 02:01:33,28,81,46,50,3,0,62,1,7,8,249
2024-06-10 02:06:34,28,80,46,47,2,1,63,1,7,8,77
2024-06-10 02:11:35,28,79,46,47,2,0,61,1,6,6,98
2024-06-10 02:16:35,28,80,46,52,3,0,62,1,6,7,130
2024-06-10 02:21:36,28,80,46,47,3,0,57,1,7,7,87
2024-06-10 02:26:37,28,80,46,63,2,0,57,1,6,7,93
2024-06-10 02:31:37,28,80,46,47,3,0,56,1,8,8,85
2024-06-10 02:36:38,28,80,46,47,3,0,59,1,8,8,70
2024-06-10 02:41:39,28,80,46,47,3,0,57,1,7,7,76
2024-06-10 02:46:40,28,81,46,47,3,0,60,1,8,8,184
2024-06-10 02:51:40,28,80,46,47,3,0,61,1,8,8,139
2024-06-10 02:56:41,28,80,46,47,3,1,58,1,8,8,103
2024-06-10 03:01:42,28,81,46,47,3,0,65,1,8,9,189
2024-06-10 03:06:43,28,79,46,47,4,0,57,1,8,8,60
2024-06-10 03:11:43,28,79,46,47,3,0,56,1,7,7,43
2024-06-10 03:16:44,28,80,46,47,3,1,58,1,7,7,99
2024-06-10 03:21:45,28,79,46,101,3,0,58,1,8,8,91
2024-06-10 03:26:46,28,81,46,48,2,0,59,1,8,8,113
2024-06-10 03:31:47,28,81,46,78,3,0,61,1,8,8,158
2024-06-10 03:36:47,28,80,46,47,3,0,59,1,8,8,102
2024-06-10 03:41:48,28,81,46,47,4,0,60,1,8,8,167
2024-06-10 03:46:49,28,81,46,57,3,0,61,1,7,8,119
2024-06-10 03:51:50,28,81,46,47,3,0,61,1,9,9,136
2024-06-10 03:56:51,28,81,46,152,3,0,59,1,8,9,114
2024-06-10 04:01:51,28,80,46,65,3,0,64,1,10,11,161
2024-06-10 04:06:52,28,82,46,49,3,1,64,1,9,10,199
2024-06-10 04:11:52,28,79,46,53,3,0,56,1,7,8,44
2024-06-10 04:16:53,28,81,46,47,3,0,59,1,7,8,128
2024-06-10 04:21:54,28,80,46,47,3,0,58,1,8,8,80
2024-06-10 04:26:55,28,81,46,72,3,0,57,1,9,9,101
2024-06-10 04:31:55,28,80,46,47,3,0,55,1,8,8,45
2024-06-10 04:36:56,28,81,46,47,4,0,56,1,8,9,55
2024-06-10 04:41:57,28,82,46,47,3,0,56,1,9,10,77
2024-06-10 04:46:58,28,82,46,47,3,0,60,1,9,9,112
2024-06-10 04:51:58,28,82,46,89,2,0,58,1,9,9,125
2024-06-10 04:56:59,28,82,46,149,3,0,58,1,10,10,81
2024-06-10 05:02:00,28,81,46,51,3,0,55,1,9,9,75
2024-06-10 05:07:00,28,82,46,47,3,0,57,1,10,10,90
2024-06-10 05:12:01,28,82,46,47,4,0,61,1,9,9,224
2024-06-10 05:17:02,28,81,46,67,3,0,55,0,8,8,53
2024-06-10 05:22:03,28,81,46,47,3,0,56,1,8,8,80
2024-06-10 05:27:03,28,83,46,63,3,0,61,1,9,9,228
2024-06-10 05:32:04,28,82,46,47,4,1,58,1,9,9,92
2024-06-10 05:37:05,28,82,46,47,3,0,59,1,8,9,128
2024-06-10 05:42:06,28,82,46,60,4,0,60,1,8,8,181
2024-06-10 05:47:06,28,81,46,88,3,0,60,1,9,10,152
2024-06-10 07:47:29,26,90,46,57,494,0,62,2,11,11,63
2024-06-10 07:52:29,26,91,46,68,448,0,54,1,8,8,142
2024-06-10 09:59:04,26,91,46,82,698,0,51,2,3,3,76
2024-06-10 10:04:05,27,91,46,54,698,0,47,1,4,4,103
2024-06-10 10:09:05,27,90,47,125,699,0,49,1,4,5,105
2024-06-10 10:14:06,27,88,47,85,699,0,48,1,3,4,103
2024-06-10 10:19:07,28,88,48,110,698,0,49,1,4,5,128
2024-06-10 10:24:07,28,86,49,164,698,0,47,1,5,6,177
2024-06-10 10:29:08,28,87,48,146,698,0,50,1,5,6,151
2024-06-10 10:34:09,28,83,49,217,697,0,49,1,5,5,92
2024-06-10 10:39:10,29,82,50,153,698,0,45,1,4,5,77
2024-06-10 10:44:11,29,82,52,201,697,0,45,1,4,5,169
2024-06-10 10:49:11,29,83,51,181,698,1,45,1,5,5,254
2024-06-10 10:54:12,29,81,48,133,696,0,48,1,6,7,245
2024-06-10 10:59:13,29,80,48,120,697,0,47,1,6,6,191
2024-06-10 11:04:14,29,78,47,136,698,0,45,1,7,8,119
2024-06-10 11:09:15,29,82,49,150,697,0,52,1,8,9,280
