Time,Tm,Rh,Na,Np,Li,H2s,Nh3,No2,Pm2,Pm10,Voc
2024-08-11 22:36:02,25,81,61,109,3,1,32,0,0,0,87
2024-08-11 22:41:04,25,82,60,112,3,4,31,0,0,0,86
2024-08-11 22:46:04,25,81,60,111,4,4,31,0,0,0,85
2024-08-11 22:51:04,25,82,61,109,3,8,32,0,0,0,82
2024-08-11 22:56:05,25,82,61,110,2,8,32,0,0,0,81
2024-08-11 23:01:06,25,82,60,112,5,4,31,0,0,0,81
2024-08-11 23:06:06,25,83,61,109,1,8,32,0,0,0,78
2024-08-11 23:11:07,25,83,65,107,4,4,31,0,0,0,77
2024-08-11 23:16:08,25,83,69,109,3,1,32,0,0,0,86
2024-08-11 23:21:09,25,83,75,112,3,8,32,0,0,0,84
2024-08-11 23:26:09,25,83,76,111,3,8,32,0,0,0,82
2024-08-11 23:31:10,25,83,76,112,2,11,32,0,0,0,80
2024-08-11 23:36:10,25,83,78,114,3,4,31,0,0,0,85
2024-08-11 23:41:11,25,83,83,115,2,1,31,0,0,0,83
2024-08-11 23:46:12,25,83,88,119,3,1,32,0,0,0,85
2024-08-11 23:51:12,25,83,92,117,3,8,31,0,0,0,83
2024-08-11 23:56:13,25,83,92,120,2,11,31,0,0,0,80
2024-08-12 00:01:14,25,84,97,121,3,4,32,0,0,0,82
2024-08-12 00:06:14,25,84,108,132,3,8,31,0,0,0,83
2024-08-12 00:11:15,25,84,110,138,2,8,31,0,0,0,80
2024-08-12 00:16:15,25,84,118,138,4,4,31,0,0,0,84
2024-08-12 00:21:16,25,84,121,142,1,8,32,0,0,0,94
2024-08-12 00:26:17,25,84,126,146,3,8,31,0,0,0,89
2024-08-12 00:31:17,25,84,129,145,3,8,31,0,0,0,87
2024-08-12 00:36:18,25,84,131,151,3,4,31,0,0,0,92
2024-08-12 00:41:19,25,84,137,152,3,4,31,0,0,0,87
2024-08-12 00:46:19,25,84,137,149,4,1,30,0,0,0,83
2024-08-12 00:51:20,25,84,142,196,2,14,31,0,0,0,83
2024-08-12 00:56:21,25,84,151,163,3,4,31,0,0,0,84
2024-08-12 01:01:21,25,84,160,175,3,11,31,0,0,0,84
2024-08-12 01:06:22,25,84,165,188,3,4,31,0,0,0,84
2024-08-12 01:11:22,25,84,170,189,3,11,31,0,0,0,90
2024-08-12 01:16:23,25,84,176,196,3,8,31,0,0,0,90
2024-08-12 01:21:24,25,84,176,200,3,11,31,0,0,0,89
2024-08-12 01:26:24,25,84,172,188,1,8,31,0,0,0,87
2024-08-12 01:31:25,25,84,167,189,3,4,31,0,0,0,84
2024-08-12 01:36:26,25,84,172,189,3,8,31,0,0,0,89
2024-08-12 01:41:27,25,84,174,194,3,1,31,0,0,0,87
2024-08-12 01:46:27,25,84,175,191,3,8,31,0,0,0,87
2024-08-12 01:51:28,25,84,171,217,3,4,31,0,0,0,86
2024-08-12 01:56:29,25,84,171,210,3,11,31,0,0,0,99
2024-08-12 02:01:29,25,83,162,184,3,8,31,0,0,0,89
2024-08-12 02:06:30,25,83,162,194,3,4,31,0,0,0,102
2024-08-12 02:11:30,25,83,162,244,3,8,31,0,0,0,91
2024-08-12 02:16:31,25,83,156,178,1,11,31,0,0,0,88
2024-08-12 02:21:31,25,83,158,296,3,8,31,0,0,0,89
2024-08-12 02:26:33,25,83,152,163,3,4,31,0,0,0,92
2024-08-12 02:31:33,25,83,152,167,3,4,31,0,0,0,95
2024-08-12 02:36:33,25,83,151,173,5,8,31,0,0,0,91
2024-08-12 02:41:34,25,83,151,168,3,4,31,0,0,0,90
2024-08-12 02:46:35,25,83,155,173,3,8,31,0,0,0,91
2024-08-12 02:51:35,25,83,156,167,3,8,31,0,0,0,91
2024-08-12 02:56:36,25,83,157,176,0,4,31,0,0,0,89
2024-08-12 03:01:37,25,84,162,177,3,8,31,0,0,0,91
2024-08-12 03:06:37,25,83,166,181,3,8,31,0,0,0,100
2024-08-12 03:11:38,25,83,159,175,3,4,31,0,0,0,91
2024-08-12 03:16:38,25,83,155,168,3,11,31,0,0,0,97
2024-08-12 03:21:39,25,84,154,170,0,1,31,0,0,0,97
2024-08-12 03:26:40,25,83,156,180,2,14,31,0,0,0,90
2024-08-12 03:31:41,25,84,152,171,3,4,31,0,0,0,92
2024-08-12 03:36:41,25,84,153,176,2,4,31,0,0,0,93
2024-08-12 03:41:42,25,83,154,180,3,8,31,0,0,0,95
2024-08-12 03:46:42,25,83,148,158,3,8,31,0,0,0,91
2024-08-12 03:51:43,25,84,149,170,3,4,32,0,0,0,101
2024-08-12 03:56:44,25,83,157,186,0,4,32,0,0,0,97
2024-08-12 04:01:44,25,83,159,178,4,4,32,0,0,0,101
2024-08-12 04:06:45,25,83,148,165,3,4,32,0,0,0,92
2024-08-12 04:11:46,25,83,150,173,2,8,32,0,0,0,96
2024-08-12 04:16:47,25,83,156,174,3,8,32,0,0,0,104
2024-08-12 04:21:47,25,83,153,166,3,4,32,0,0,0,104
2024-08-12 04:26:48,25,83,154,172,3,4,32,0,0,0,107
2024-08-12 04:31:49,25,83,157,171,3,8,32,0,0,0,108
2024-08-12 04:36:49,25,83,156,177,3,1,32,0,0,0,106
2024-08-12 04:41:50,25,83,169,223,3,4,32,0,0,0,103
2024-08-12 04:46:51,25,83,159,217,3,4,32,0,0,0,98
2024-08-12 04:51:51,25,83,151,176,3,1,32,0,0,0,95
2024-08-12 04:56:52,25,83,145,159,2,8,32,0,0,0,96
2024-08-12 05:01:52,25,84,145,174,2,4,32,0,0,0,109
2024-08-12 05:06:53,25,84,155,186,3,8,32,0,0,0,103
2024-08-12 05:11:54,25,83,157,193,3,4,32,0,0,0,102
2024-08-12 05:16:54,25,83,131,152,3,11,32,0,0,0,100
2024-08-12 05:21:55,25,83,127,143,2,8,32,0,0,0,98
2024-08-12 05:26:55,25,83,125,152,3,8,32,0,0,0,97
2024-08-12 05:31:56,25,83,124,141,2,11,32,0,0,0,97
