Time,Tm,Rh,Na,Np,Li,H2s,Nh3,No2,Pm2,Pm10,Voc
2024-07-14 16:38:49,31,75,49,88,703,14,61,1,21,21,244
2024-07-14 16:43:50,31,71,49,96,704,14,62,1,18,18,112
2024-07-14 16:48:50,31,71,50,297,704,11,59,1,22,28,147
2024-07-14 16:53:51,31,72,49,70,703,11,61,1,21,21,174
2024-07-14 16:58:52,31,73,49,53,704,11,62,1,38,39,145
2024-07-14 17:03:53,31,73,51,143,704,8,62,1,18,18,100
2024-07-14 17:08:54,32,72,52,80,703,14,63,1,26,30,171
2024-07-14 17:13:55,32,76,53,155,703,14,64,1,37,52,173
2024-07-14 17:18:56,31,73,51,113,667,14,63,1,18,18,61
2024-07-14 17:23:56,31,73,53,103,433,11,60,1,21,21,74
2024-07-14 17:28:57,31,75,50,138,435,11,62,1,23,25,139
2024-07-14 17:33:58,31,75,50,123,530,11,58,1,16,16,75
2024-07-14 17:38:59,31,76,50,195,415,14,61,1,19,19,92
2024-07-14 17:44:00,31,76,51,128,568,14,56,1,21,21,71
2024-07-14 17:49:00,31,78,51,157,534,11,58,1,17,17,92
2024-07-14 17:54:01,31,76,52,132,266,14,61,1,17,17,62
2024-07-14 17:59:02,30,80,51,148,343,14,65,1,25,28,339
2024-07-14 18:04:03,30,79,51,119,499,14,66,1,28,32,270
2024-07-14 18:09:04,30,77,50,142,327,11,62,1,19,19,105
2024-07-14 18:14:05,30,77,51,178,321,11,60,1,17,17,83
2024-07-14 18:19:05,30,80,51,117,346,11,63,1,23,25,201
2024-07-14 18:24:06,30,79,54,191,293,11,64,1,19,19,124
2024-07-14 18:29:07,30,80,57,195,223,17,68,1,21,21,231
2024-07-14 18:34:08,30,78,49,102,143,1,65,1,18,18,62
2024-07-14 18:39:09,30,80,49,65,294,11,67,1,19,19,128
2024-07-14 18:44:10,30,80,49,84,269,11,64,1,20,20,94
2024-07-14 18:49:10,30,79,49,82,205,11,65,1,18,18,123
2024-07-14 18:54:11,30,79,52,180,156,11,68,1,18,18,133
2024-07-14 18:59:12,30,79,49,62,110,8,63,1,19,19,99
2024-07-14 19:04:13,30,79,49,50,77,4,63,1,19,19,72
2024-07-14 19:09:15,30,79,49,68,66,11,65,1,19,19,84
2024-07-14 19:14:14,30,81,53,180,59,11,65,1,60,72,157
2024-07-14 19:19:16,30,81,55,212,61,11,66,1,21,21,113
2024-07-14 19:24:17,29,78,51,114,61,114,52,1,20,20,53
2024-07-14 19:29:17,29,78,50,110,57,14,63,1,22,22,74
2024-07-14 19:34:18,29,79,55,235,60,11,61,1,27,27,119
2024-07-14 19:39:18,29,79,51,128,66,11,61,1,27,27,113
2024-07-14 19:44:19,29,80,49,93,65,11,59,1,24,24,121
2024-07-14 19:49:20,29,78,49,81,66,104,50,1,25,25,85
2024-07-14 19:54:21,29,79,51,224,61,11,62,1,27,27,143
2024-07-14 19:59:22,29,82,49,81,64,11,57,1,26,26,152
2024-07-14 20:04:22,29,79,49,66,64,11,59,1,27,27,149
2024-07-14 20:09:23,29,79,52,268,62,8,62,1,29,29,178
2024-07-14 20:14:24,29,78,53,189,65,14,61,1,27,27,105
2024-07-14 20:19:25,29,79,49,90,62,11,60,1,29,29,102
2024-07-14 20:24:25,29,81,50,101,73,14,61,1,30,30,159
2024-07-14 20:29:26,29,79,51,118,67,11,62,1,28,28,189
2024-07-14 20:34:27,29,78,52,130,71,14,58,1,29,29,104
2024-07-14 20:39:28,29,79,51,177,71,11,60,1,29,29,114
2024-07-14 20:44:28,29,78,51,181,70,4,56,1,27,27,96
2024-07-14 20:49:29,29,79,51,122,72,14,59,1,28,28,191
2024-07-14 20:54:30,29,78,51,119,69,14,58,1,27,27,118
2024-07-14 20:59:31,29,77,51,133,65,14,54,1,25,25,106
2024-07-14 21:04:32,29,77,53,208,69,11,55,1,28,28,83
2024-07-14 21:09:32,29,78,49,62,71,8,60,1,34,34,150
2024-07-14 21:19:35,29,77,50,67,66,11,54,1,24,24,92
2024-07-14 21:24:35,29,79,50,124,68,14,54,1,26,26,139
