Time,Tm,Rh,Na,Np,Li,H2s,Nh3,No2,Pm2,Pm10,Voc
2024-04-15 08:47:04,30,80,49,191,436,0,69,3,21,26,146
2024-04-15 08:52:05,30,80,46,53,648,8,67,3,22,29,77
2024-04-15 08:57:05,30,78,46,64,621,4,65,3,13,16,45
2024-04-15 09:02:06,30,79,49,163,398,4,69,3,19,25,116
2024-04-15 09:07:07,30,77,49,139,347,4,68,3,13,18,62
2024-04-15 09:12:08,31,78,49,157,360,1,70,3,17,24,133
2024-04-15 09:17:09,31,73,53,268,697,0,61,3,17,25,9
2024-04-15 09:22:10,31,73,133,253,698,4,55,2,16,23,15
2024-04-15 09:27:11,31,72,58,221,698,1,55,3,14,20,13
2024-04-15 09:32:12,31,72,50,116,697,1,56,2,18,25,10
2024-04-15 09:37:13,31,73,62,221,697,1,57,3,12,17,13
2024-04-15 09:42:13,31,73,51,183,698,4,57,3,13,18,32
2024-04-15 09:47:14,31,71,53,174,697,1,56,2,14,19,15
2024-04-15 09:52:15,31,72,48,140,697,4,55,2,12,15,14
2024-04-15 09:57:16,31,71,47,118,698,0,57,2,11,16,31
2024-04-15 10:02:17,31,73,63,193,698,4,57,2,15,22,30
2024-04-15 10:07:18,31,72,52,141,698,0,58,3,15,24,51
2024-04-15 10:12:19,32,71,48,180,694,4,54,2,15,23,12
2024-04-15 10:17:19,32,72,48,96,698,4,59,3,15,23,53
2024-04-15 10:22:21,32,69,62,237,697,1,53,2,9,13,9
2024-04-15 10:27:21,32,68,48,73,697,4,51,2,8,12,59
2024-04-15 10:32:22,32,68,58,258,698,0,56,3,19,33,87
2024-04-15 10:37:23,32,69,54,277,697,4,55,2,18,30,24
2024-04-15 10:42:24,33,69,55,268,697,1,56,3,18,30,128
2024-04-15 10:47:25,33,66,59,266,697,11,55,3,15,18,54
2024-04-15 10:52:26,33,65,52,245,697,1,55,2,9,13,20
2024-04-15 10:57:27,33,65,55,240,698,0,56,3,33,33,128
2024-04-15 11:02:28,33,65,46,50,698,0,58,3,11,14,57
2024-04-15 11:07:29,33,65,48,150,697,4,52,2,8,8,32
2024-04-15 11:12:30,33,64,48,248,697,1,55,2,12,18,30
2024-04-15 11:17:31,34,62,56,243,697,0,53,2,8,10,29
2024-04-15 11:22:32,34,63,46,50,697,8,53,2,10,12,36
2024-04-15 11:27:33,34,63,49,273,697,0,53,3,8,11,38
2024-04-15 11:32:34,34,62,54,294,697,1,56,3,47,49,51
2024-04-15 11:37:35,34,62,51,253,697,4,56,3,15,23,30
2024-04-15 11:42:36,34,62,48,87,697,1,54,2,21,21,73
2024-04-15 11:47:37,34,65,48,220,697,8,57,3,21,25,97
2024-04-15 11:52:38,34,62,47,104,696,0,56,2,11,16,26
2024-04-15 11:57:38,34,61,46,52,697,1,53,2,9,13,16
2024-04-15 12:02:39,34,60,46,113,697,0,52,2,7,10,13
2024-04-15 12:07:40,34,59,46,112,697,4,52,2,9,13,18
2024-04-15 12:12:41,34,60,47,121,696,0,56,3,16,24,44
2024-04-15 12:17:42,34,61,46,51,696,4,58,3,21,33,59
2024-04-15 12:22:43,35,58,47,155,697,1,53,2,8,11,17
2024-04-15 12:27:44,35,63,47,117,697,4,64,3,34,58,133
2024-04-15 12:32:45,35,58,46,95,696,8,60,3,12,18,54
2024-04-15 12:37:46,35,57,46,99,697,4,58,3,12,17,88
2024-04-15 12:42:47,35,57,46,52,697,8,54,2,8,11,21
2024-04-15 12:47:48,35,56,48,174,697,4,53,2,10,13,27
2024-04-15 12:52:50,35,56,48,128,697,4,55,2,10,13,49
2024-04-15 12:57:51,36,56,46,79,696,4,54,2,10,12,23
2024-04-15 13:02:51,36,56,47,140,696,8,55,2,14,18,31
2024-04-15 13:07:53,36,55,46,60,696,1,54,2,12,14,26
2024-04-15 13:12:54,36,58,47,122,697,8,60,3,18,26,88
2024-04-15 13:17:55,36,57,56,279,697,4,59,3,15,20,77
2024-04-15 13:22:56,36,55,51,136,697,4,57,3,10,14,76
2024-04-15 13:27:57,36,56,46,82,696,4,54,2,12,14,37
2024-04-15 13:32:58,36,54,47,97,696,8,52,2,9,10,22
2024-04-15 13:37:59,36,53,46,144,696,8,53,2,9,11,27
2024-04-15 13:43:00,36,56,46,50,696,8,62,3,20,29,103
2024-04-15 13:48:01,36,55,47,132,697,1,62,3,12,16,106
2024-04-15 13:53:02,36,54,46,75,696,4,54,2,10,11,54
2024-04-15 13:58:03,36,55,47,224,696,8,55,2,65,65,158
2024-04-15 14:03:04,36,53,46,47,696,0,55,2,11,12,59
2024-04-15 14:08:05,36,52,47,176,700,8,54,2,9,10,57
2024-04-15 14:13:06,36,53,47,116,696,4,56,3,12,13,96
2024-04-15 14:18:07,36,55,46,127,697,4,56,3,74,86,86
2024-04-15 14:23:08,36,58,46,55,696,1,61,3,24,24,173
2024-04-15 14:28:09,36,59,46,54,697,8,70,3,28,38,266
2024-04-15 14:33:11,37,54,46,80,696,8,59,3,12,13,57
2024-04-15 14:38:12,37,56,46,61,696,8,61,3,14,17,94
2024-04-15 14:43:12,37,54,46,148,696,4,62,3,14,16,127
2024-04-15 14:48:14,37,55,46,50,697,8,60,3,16,18,126
2024-04-15 14:53:15,37,53,46,59,696,0,59,3,12,13,73
2024-04-15 14:58:16,37,57,46,87,696,4,65,3,83,83,153
2024-04-15 15:03:17,37,53,46,60,697,1,59,3,23,23,119
2024-04-15 15:08:18,37,54,46,67,696,4,61,3,37,37,205
2024-04-15 15:13:19,37,56,46,85,696,4,64,3,22,28,179
2024-04-15 15:18:20,37,55,46,89,696,8,65,3,13,17,123
2024-04-15 15:23:21,37,57,46,77,697,4,69,3,24,37,229
2024-04-15 15:28:22,37,56,47,142,697,8,66,3,16,22,158
2024-04-15 15:33:23,37,52,46,76,695,4,56,3,14,17,51
2024-04-15 15:38:24,37,54,46,64,696,8,61,3,17,23,108
2024-04-15 15:43:25,37,53,47,161,696,4,57,3,10,12,53
2024-04-15 15:48:26,37,56,46,57,696,4,61,3,18,23,108
2024-04-15 15:53:28,37,53,46,62,696,8,60,3,15,20,79
2024-04-15 15:58:29,37,54,47,117,696,8,64,3,16,22,167
