Time,Tm,Rh,Na,Np,Li,H2s,Nh3,No2,Pm2,Pm10,Voc
2024-06-16 18:31:54,30,73,224,270,34,0,43,1,3,3,62
2024-06-16 18:36:54,30,74,231,310,25,0,44,1,3,3,96
2024-06-16 18:41:54,30,74,222,271,17,0,44,1,3,3,221
2024-06-16 18:46:54,30,73,226,283,8,0,43,1,3,3,193
2024-06-16 18:51:54,30,73,228,292,5,0,43,1,3,3,175
2024-06-16 18:56:54,30,73,223,267,5,0,43,1,3,3,126
2024-06-16 19:01:54,30,74,219,298,6,0,43,1,3,3,93
2024-06-16 19:06:54,30,74,221,261,6,0,43,1,4,4,66
2024-06-16 19:11:54,29,74,222,268,6,0,43,1,4,4,82
2024-06-16 19:16:54,29,74,221,288,6,0,43,1,4,4,96
2024-06-16 19:21:54,29,74,220,253,6,0,42,1,5,5,67
2024-06-16 19:26:53,29,74,222,266,6,0,42,1,4,4,74
2024-06-16 19:31:53,29,74,224,281,6,0,42,1,4,4,74
2024-06-16 19:36:53,29,75,222,269,5,0,42,1,5,5,69
2024-06-16 19:41:53,29,75,221,248,5,0,42,1,4,4,62
2024-06-16 19:46:53,29,75,220,259,6,1,42,1,5,5,60
2024-06-16 19:51:53,29,75,223,302,6,0,42,1,5,5,53
2024-06-16 19:56:53,29,75,232,271,5,0,42,1,4,4,50
2024-06-16 20:01:53,29,75,224,280,5,0,42,1,6,6,49
2024-06-16 20:06:53,29,75,223,276,6,0,42,1,4,4,49
2024-06-16 20:11:53,29,75,221,278,6,0,42,1,5,5,51
2024-06-16 20:16:53,29,76,222,283,6,0,42,1,4,4,56
2024-06-16 20:21:53,29,75,220,257,5,0,42,1,5,5,57
2024-06-16 20:26:53,29,75,229,300,6,0,42,1,5,5,56
2024-06-16 20:31:53,29,75,222,283,5,0,42,1,6,6,56
2024-06-16 20:36:53,29,75,219,255,5,0,42,1,5,5,57
2024-06-16 20:41:53,29,76,221,271,6,0,42,1,5,5,62
2024-06-16 20:46:52,29,76,220,263,6,0,42,1,5,5,62
2024-06-16 20:51:52,29,76,221,269,6,0,42,1,5,5,61
2024-06-16 20:56:52,29,76,221,290,6,0,42,1,5,5,61
2024-06-16 21:01:52,29,76,224,276,6,0,42,1,5,5,60
2024-06-16 21:06:52,29,75,225,287,5,0,42,1,5,5,57
2024-06-16 21:11:52,28,76,222,260,6,0,42,1,5,5,53
2024-06-16 21:16:52,28,75,226,298,6,0,41,1,5,5,52
2024-06-16 21:21:52,28,75,222,268,6,0,42,1,5,5,52
2024-06-16 21:26:54,28,75,223,272,6,0,41,1,5,5,52
2024-06-16 21:31:52,28,76,227,284,6,0,41,1,4,4,53
2024-06-16 21:36:52,28,76,229,278,6,0,41,1,5,5,54
2024-06-16 21:41:51,28,76,223,261,5,0,41,1,3,3,54
2024-06-16 21:46:51,28,76,222,282,6,0,41,1,5,5,54
2024-06-16 21:51:51,28,76,222,259,6,0,41,1,5,5,54
2024-06-16 21:56:51,28,76,219,245,6,0,41,1,5,5,56
2024-06-16 22:01:51,28,76,221,261,6,0,41,1,4,4,56
2024-06-16 22:06:51,28,76,224,291,6,0,41,1,4,4,54
2024-06-16 22:11:51,28,76,225,284,5,0,41,1,5,5,56
2024-06-16 22:16:51,28,76,220,270,6,0,41,1,4,4,55
2024-06-16 22:21:51,28,76,222,268,5,0,41,1,5,5,55
2024-06-16 22:26:52,28,76,219,261,6,0,41,1,5,5,55
2024-06-16 22:31:51,28,76,218,255,6,0,41,1,5,5,56
2024-06-16 22:36:51,28,76,220,277,6,0,42,1,4,4,61
2024-06-16 22:41:51,28,76,219,262,6,0,42,1,5,5,58
2024-06-16 22:46:51,28,76,225,277,6,0,41,1,5,5,54
