Time,Tm,Rh,Na,Np,Li,H2s,Nh3,No2,Pm2,Pm10,Voc
2024-07-01 09:45:45,29,73,195,211,628,0,42,1,20,20,101
2024-07-01 09:50:50,29,73,197,239,387,0,42,1,20,20,102
2024-07-01 09:50:51,29,73,197,239,387,0,42,1,20,20,102
2024-07-01 09:55:45,30,73,199,215,693,0,42,1,21,21,102
2024-07-01 10:00:46,30,73,214,296,365,0,42,1,22,22,102
2024-07-01 10:25:49,30,71,218,330,311,1,42,1,22,22,128
2024-07-01 10:25:50,30,71,218,330,311,1,42,1,22,22,128
2024-07-01 10:37:27,30,71,206,235,641,0,42,1,20,20,193
2024-07-01 10:55:43,31,68,213,277,700,0,44,1,22,22,121
2024-07-01 11:05:44,31,68,218,282,385,0,44,1,20,20,95
2024-07-01 11:10:43,31,67,220,258,338,0,44,1,19,19,98
2024-07-01 11:15:43,31,65,220,285,230,0,43,1,19,19,89
2024-07-01 11:15:48,31,65,220,285,230,0,43,1,19,19,89
2024-07-01 11:15:53,31,65,220,285,230,0,43,1,19,19,89
2024-07-01 11:20:45,31,68,218,253,700,0,44,1,20,20,127
2024-07-01 11:25:42,31,67,219,270,699,0,44,1,19,19,112
2024-07-01 11:30:51,31,67,225,306,700,0,44,1,20,20,168
2024-07-01 11:30:55,31,67,225,306,700,0,44,1,20,20,168
2024-07-01 11:30:55,31,67,225,306,700,0,44,1,20,20,168
2024-07-01 11:35:46,31,68,223,285,383,0,45,1,19,19,162
2024-07-01 11:40:42,31,66,225,271,449,0,44,1,19,19,118
2024-07-01 11:45:41,31,66,220,261,476,0,44,1,21,21,109
2024-07-01 11:55:48,31,65,226,279,700,0,43,1,20,20,98
2024-07-01 11:55:50,31,65,226,279,700,0,43,1,20,20,98
2024-07-01 12:00:41,31,65,225,275,386,0,43,1,19,19,222
2024-07-01 12:05:42,31,66,238,316,700,0,44,1,18,18,162
2024-07-01 12:10:41,31,67,227,287,337,0,44,1,17,17,152
2024-07-01 12:15:41,31,67,223,268,326,0,44,1,17,17,134
2024-07-01 12:55:42,31,68,232,310,701,0,45,1,31,31,172
