Time,Tm,Rh,Na,Np,Li,H2s,Nh3,No2,Pm2,Pm10,Voc
2024-07-21 12:34:06,29,77,48,52,700,4,33,0,17,17,120
2024-07-21 12:39:07,29,75,47,48,700,4,32,0,17,17,105
2024-07-21 12:44:07,29,77,48,53,700,1,30,0,16,16,109
2024-07-21 12:49:08,29,76,47,48,701,1,31,0,16,16,135
2024-07-21 12:54:09,30,79,47,48,701,4,35,0,16,16,184
2024-07-21 12:59:09,30,74,47,48,701,4,33,0,20,20,148
2024-07-21 13:04:10,30,76,47,48,700,1,35,0,18,18,198
2024-07-21 13:09:11,30,76,47,48,701,8,37,0,16,16,184
2024-07-21 13:14:12,30,72,47,48,700,1,33,0,17,17,157
2024-07-21 13:19:12,30,73,47,48,701,1,34,0,18,18,157
2024-07-21 13:24:14,30,73,47,48,700,0,34,0,17,17,176
2024-07-21 13:29:14,30,74,47,48,701,4,34,0,16,16,173
2024-07-21 13:34:15,30,72,47,48,701,4,34,0,17,17,217
2024-07-21 13:39:16,30,72,47,48,701,4,35,0,17,17,161
2024-07-21 13:44:17,30,75,47,48,701,1,38,0,15,15,226
2024-07-21 13:49:17,30,71,47,48,700,8,35,0,15,15,154
2024-07-21 13:54:18,30,72,47,48,701,4,35,0,17,17,170
2024-07-21 13:59:19,30,70,47,48,701,1,34,0,15,15,133
2024-07-21 14:04:20,30,71,47,48,700,14,34,0,17,17,164
2024-07-21 14:09:21,30,73,47,48,700,4,35,0,18,18,188
2024-07-21 14:14:22,30,76,47,48,701,1,38,0,18,18,235
2024-07-21 14:19:23,30,72,47,48,700,4,33,0,19,19,139
2024-07-21 14:24:23,30,77,47,48,701,1,36,0,17,17,234
2024-07-21 14:29:24,30,77,47,48,701,1,35,0,16,16,226
2024-07-21 14:34:25,30,72,47,48,700,0,34,0,19,19,163
2024-07-21 14:39:26,30,73,47,48,701,4,35,0,19,19,207
2024-07-21 14:44:27,30,72,47,48,701,4,33,0,16,16,135
2024-07-21 14:49:27,30,74,47,48,701,1,34,0,15,15,147
2024-07-21 14:54:28,29,74,47,48,701,4,34,0,14,14,141
2024-07-21 14:59:29,29,77,47,48,700,4,35,0,16,16,166
2024-07-21 15:04:30,29,75,47,48,701,1,33,0,14,14,154
2024-07-21 15:09:31,29,76,47,48,700,4,34,0,15,15,162
2024-07-21 15:14:32,29,74,47,48,702,4,33,0,16,16,161
2024-07-21 15:19:33,30,76,47,48,700,4,35,0,15,15,177
2024-07-21 15:24:33,30,72,47,48,701,4,33,0,17,17,159
2024-07-21 15:29:34,30,73,47,48,701,0,34,0,16,16,163
2024-07-21 15:34:35,30,72,47,48,700,4,33,0,18,18,163
2024-07-21 15:39:36,30,75,47,48,700,4,35,0,19,19,241
2024-07-21 15:44:37,30,73,47,60,701,1,34,0,18,18,197
2024-07-21 15:49:38,30,73,47,48,701,4,36,0,19,19,235
2024-07-21 15:54:38,30,72,47,48,700,4,35,0,18,18,180
2024-07-21 15:59:40,30,72,47,48,700,1,36,0,19,19,210
2024-07-21 16:04:40,30,72,47,48,701,1,35,0,19,19,207
2024-07-21 16:09:41,30,72,47,48,701,4,36,0,18,18,219
2024-07-21 16:14:42,30,73,47,48,701,4,34,0,19,19,175
2024-07-21 16:19:43,30,77,47,48,701,1,37,0,19,19,230
2024-07-21 16:24:44,30,73,48,64,699,4,35,0,19,19,189
2024-07-21 16:29:44,30,75,47,48,701,4,37,0,18,18,188
2024-07-21 16:34:45,30,73,47,48,701,4,36,0,20,20,148
2024-07-21 16:39:46,30,73,47,48,701,4,35,0,19,19,181
2024-07-21 16:44:47,30,75,47,48,701,1,36,0,20,20,170
2024-07-21 16:49:48,30,73,47,48,701,1,36,0,19,19,164
2024-07-21 16:54:49,30,73,47,48,700,4,36,0,19,19,185
2024-07-21 16:59:50,29,75,47,48,701,8,37,0,21,21,171
2024-07-21 17:04:50,29,77,47,48,701,1,37,0,19,19,205
2024-07-21 17:09:51,29,77,47,48,700,8,37,0,21,21,196
2024-07-21 17:14:52,29,78,47,48,701,4,37,0,19,19,215
2024-07-21 17:19:53,29,79,47,48,701,8,39,0,19,19,215
2024-07-21 17:24:53,29,75,48,55,700,14,35,0,20,20,150
2024-07-21 17:29:54,29,77,48,55,701,4,38,0,22,22,239
2024-07-21 17:34:55,29,77,47,48,700,1,39,0,20,20,206
2024-07-21 17:39:56,29,75,47,48,701,0,38,0,20,20,169
2024-07-21 17:44:57,29,77,47,48,701,4,38,0,19,19,166
2024-07-21 17:49:58,29,75,47,48,702,0,37,0,19,19,125
2024-07-21 17:54:58,29,75,47,48,701,1,36,0,21,21,134
2024-07-21 17:59:59,29,75,48,74,701,0,35,0,18,18,124
2024-07-21 18:04:59,29,74,47,48,702,0,33,0,22,22,128
2024-07-21 18:10:00,29,76,47,48,701,0,35,0,22,22,173
2024-07-21 18:15:01,29,76,47,48,701,4,35,0,20,20,151
2024-07-21 18:20:02,28,76,47,48,619,1,35,0,18,18,166
2024-07-21 18:25:03,28,77,48,76,511,1,35,0,20,20,154
