Time,Tm,Rh,Na,Np,Li,H2s,Nh3,No2,Pm2,Pm10,Voc
2024-04-21 20:52:30,28,77,46,47,3,0,33,1,9,10,32
2024-04-21 20:57:31,28,77,46,47,3,1,33,1,9,9,31
2024-04-21 21:02:32,27,78,46,47,3,0,32,1,10,11,31
2024-04-21 21:07:32,27,78,46,47,2,0,33,1,11,11,33
2024-04-21 21:12:33,27,78,46,47,3,0,33,1,12,13,36
2024-04-21 21:17:34,27,78,46,48,3,0,32,1,12,13,38
2024-04-21 21:22:35,27,78,46,48,2,0,32,1,11,11,38
2024-04-21 21:27:35,27,79,46,47,4,0,33,1,10,10,36
2024-04-21 21:32:36,27,78,46,47,3,0,32,1,9,9,35
2024-04-21 21:37:38,27,78,46,47,1,0,33,1,12,13,35
2024-04-21 21:42:38,27,78,46,47,3,0,33,1,11,11,38
2024-04-21 21:47:38,27,79,46,47,3,0,34,1,10,11,39
2024-04-21 21:52:39,27,78,46,49,7,0,34,1,10,10,40
2024-04-21 21:57:39,27,78,46,47,4,0,35,1,10,10,41
2024-04-21 22:07:41,27,79,46,56,3,0,35,1,9,9,41
2024-04-21 22:12:42,27,79,46,47,3,1,35,1,9,10,43
2024-04-21 22:17:42,27,79,46,47,3,0,36,1,11,11,71
2024-04-21 22:22:43,27,79,46,47,3,0,35,1,10,10,61
2024-04-21 22:27:45,27,79,46,47,3,0,34,1,11,12,64
2024-04-21 22:32:44,27,79,46,47,3,0,34,1,11,11,65
2024-04-21 22:37:45,27,79,46,47,3,0,33,1,10,10,60
2024-04-21 22:42:46,27,79,46,47,2,0,33,1,11,11,60
2024-04-21 22:47:47,27,79,46,47,3,1,33,1,10,10,60
2024-04-21 22:52:48,27,79,46,47,3,0,33,1,10,10,62
2024-04-21 22:57:48,27,79,46,47,3,0,33,1,11,11,66
2024-04-21 23:02:49,27,79,46,47,3,0,34,1,11,11,71
2024-04-21 23:07:50,27,79,46,52,3,0,34,1,10,10,72
2024-04-21 23:12:51,27,79,50,178,3,0,34,1,10,10,66
2024-04-21 23:17:51,27,79,46,63,3,0,33,1,11,11,70
2024-04-21 23:22:52,27,79,46,51,3,1,33,1,12,12,81
2024-04-21 23:27:53,27,79,46,47,3,0,34,1,10,10,81
2024-04-21 23:32:54,27,79,46,47,3,0,34,1,10,10,79
2024-04-21 23:37:54,27,79,46,47,3,1,35,1,10,10,74
2024-04-21 23:42:55,27,78,46,47,2,0,35,1,11,11,69
2024-04-21 23:47:56,27,78,46,47,3,0,34,1,11,11,62
2024-04-21 23:52:57,27,78,46,48,3,0,34,1,10,10,54
2024-04-21 23:57:57,27,79,46,47,3,0,33,1,11,11,52
2024-04-22 00:09:29,28,77,45,49,1,0,33,1,10,10,97
2024-04-22 00:14:29,27,77,46,47,3,0,34,1,10,10,99
2024-04-22 00:27:14,28,77,45,49,3,0,32,1,11,11,98
2024-04-22 00:32:15,27,79,46,47,3,0,32,1,12,12,99
2024-04-22 00:37:16,27,79,46,47,3,1,32,1,11,11,103
2024-04-22 00:42:16,27,79,46,47,5,0,33,1,10,10,100
2024-04-22 00:47:17,27,79,46,47,3,0,33,1,10,10,99
2024-04-22 00:52:18,27,80,46,47,3,0,33,1,11,11,101
2024-04-22 00:57:19,27,80,46,47,3,0,32,1,11,11,101
2024-04-22 01:02:20,27,80,46,47,3,0,32,1,10,11,100
2024-04-22 01:07:20,27,80,46,47,3,0,32,1,11,11,100
2024-04-22 01:12:21,27,80,46,47,3,0,32,1,11,11,102
2024-04-22 01:17:22,27,80,46,47,3,0,32,1,10,10,104
2024-04-22 01:22:23,27,80,46,47,3,0,32,1,11,11,95
2024-04-22 01:27:23,27,80,46,47,3,0,32,1,10,10,85
2024-04-22 01:32:24,27,80,46,47,2,0,30,1,12,12,147
2024-04-22 01:37:25,27,80,46,47,3,1,32,1,13,13,167
2024-04-22 01:42:25,27,80,46,47,1,0,32,1,13,13,168
2024-04-22 01:47:26,27,81,46,47,3,0,32,1,12,12,164
2024-04-22 01:52:27,27,80,46,47,3,0,32,1,11,11,154
2024-04-22 01:57:28,27,80,46,47,3,0,32,1,12,12,154
2024-04-22 02:02:29,27,80,46,47,1,0,33,1,11,11,157
2024-04-22 02:11:43,27,78,50,222,3,1,33,1,11,11,98
2024-04-22 07:39:34,25,95,46,50,699,0,39,2,19,19,89
2024-04-22 07:44:35,25,94,46,47,699,0,36,2,17,17,95
2024-04-22 07:49:36,25,92,47,129,698,8,35,2,12,12,93
2024-04-22 07:54:36,26,91,48,192,699,0,35,2,20,20,106
2024-04-22 07:59:37,26,90,47,214,698,0,35,2,21,21,100
2024-04-22 08:04:38,27,88,48,203,699,0,34,1,27,27,110
2024-04-22 08:09:39,27,87,47,185,699,0,34,1,30,30,105
2024-04-22 08:14:40,27,86,46,174,698,0,34,1,30,30,102
2024-04-22 08:19:41,27,85,46,47,698,1,34,1,31,31,102
2024-04-22 08:24:41,28,85,46,47,698,0,34,1,31,31,100
2024-04-22 08:29:42,28,82,46,50,698,0,33,1,25,25,64
2024-04-22 08:34:43,28,82,46,54,698,0,33,1,27,27,75
2024-04-22 08:39:44,28,81,46,47,698,0,34,1,24,24,73
2024-04-22 08:44:44,28,81,46,60,698,1,35,1,23,23,66
2024-04-22 08:49:45,28,82,46,47,698,0,36,1,15,15,39
2024-04-22 08:54:46,29,81,46,47,698,0,37,1,13,13,30
2024-04-22 08:59:47,29,80,46,47,698,0,36,1,31,31,32
2024-04-22 09:04:47,29,81,46,47,698,1,36,1,9,9,23
2024-04-22 09:09:48,29,80,46,47,697,1,35,1,8,8,23
2024-04-22 09:14:49,29,80,46,47,697,1,35,1,10,10,50
2024-04-22 09:19:50,29,79,46,47,697,1,36,1,6,6,30
2024-04-22 09:24:51,29,78,46,47,699,0,36,1,5,5,18
2024-04-22 09:29:52,30,79,46,47,697,0,36,1,5,5,22
2024-04-22 09:34:53,30,78,46,47,697,1,37,1,5,5,35
2024-04-22 09:39:54,30,77,46,47,697,4,35,1,5,5,21
2024-04-22 09:44:55,30,78,46,47,697,1,36,1,6,6,22
2024-04-22 09:49:55,30,75,46,47,698,1,35,1,5,5,24
2024-04-22 09:54:56,30,75,46,47,697,8,36,1,4,4,22
2024-04-22 09:59:57,30,75,46,47,697,0,37,1,5,5,21
2024-04-22 10:04:58,31,75,46,47,697,0,36,1,5,5,22
2024-04-22 10:09:59,31,74,46,47,698,1,36,1,5,5,24
