Time,Tm,Rh,Na,Np,Li,H2s,Nh3,No2,Pm2,Pm10,Voc
2024-06-24 10:01:45,29,74,194,212,269,0,41,1,10,10,90
2024-06-24 10:06:45,29,73,197,307,277,1,41,1,9,9,85
2024-06-24 10:11:45,29,73,196,224,506,0,41,1,8,8,123
2024-06-24 10:16:45,30,72,200,220,422,0,41,1,9,9,65
2024-06-24 10:21:45,30,72,203,228,215,1,41,1,9,9,48
2024-06-24 10:26:45,30,72,199,215,239,0,41,1,9,9,59
2024-06-24 10:31:44,30,72,201,293,286,0,41,1,10,10,53
2024-06-24 10:36:44,30,72,205,292,336,0,41,1,10,10,53
2024-06-24 10:41:44,30,72,202,305,379,0,41,1,9,9,52
2024-06-24 10:46:44,30,72,203,229,386,0,41,1,9,9,246
2024-06-24 10:51:45,30,72,203,222,606,0,41,1,8,8,97
2024-06-24 11:01:44,30,71,204,224,613,0,42,1,8,8,68
2024-06-24 11:06:44,30,71,206,467,625,0,42,1,8,8,57
2024-06-24 11:11:44,30,70,212,263,638,0,42,1,7,7,48
2024-06-24 11:16:44,31,70,221,333,562,0,43,1,8,8,53
2024-06-24 11:21:44,31,69,207,231,587,0,43,1,7,7,63
2024-06-24 11:26:44,31,67,205,230,557,0,43,1,5,5,52
2024-06-24 11:31:44,31,67,206,274,566,0,43,1,5,5,50
2024-06-24 11:36:44,31,66,209,235,642,4,43,1,5,5,51
2024-06-24 11:41:43,31,66,214,233,490,0,43,1,6,6,55
2024-06-24 11:46:44,31,66,212,252,463,0,43,1,6,6,56
2024-06-24 11:51:43,31,66,210,249,428,0,43,1,5,5,78
2024-06-24 11:56:43,32,65,209,236,441,0,43,1,6,6,69
2024-06-24 12:01:43,32,66,210,273,267,11,42,1,6,6,78
2024-06-24 12:06:43,32,67,216,246,242,0,44,1,7,7,303
2024-06-24 12:11:43,32,66,211,245,188,0,43,1,7,7,154
2024-06-24 12:16:43,31,67,213,237,274,0,43,1,7,7,140
2024-06-24 12:21:43,31,67,221,279,475,1,43,1,7,7,139
2024-06-24 12:26:43,31,67,217,255,362,0,43,1,7,7,154
2024-06-24 12:31:43,31,68,215,246,317,0,43,1,8,8,131
2024-06-24 12:36:43,31,68,221,270,249,0,43,1,7,7,185
2024-06-24 12:41:43,31,68,220,265,326,0,43,1,8,8,86
2024-06-24 12:46:43,31,68,216,255,405,0,43,1,8,8,94
2024-06-24 12:51:42,31,69,216,251,475,0,44,1,8,8,291
2024-06-24 12:56:42,31,69,215,239,122,0,44,1,6,6,142
2024-06-24 13:01:45,31,68,218,245,45,0,43,1,6,6,79
2024-06-24 13:06:42,31,66,235,301,53,0,42,1,5,5,49
2024-06-24 13:11:41,31,66,226,273,57,0,41,1,9,9,58
2024-06-24 13:17:17,30,66,218,255,49,0,40,1,5,5,34
2024-06-24 13:17:20,30,66,218,255,49,0,40,1,5,5,34
2024-06-24 13:21:45,30,65,227,278,67,0,39,1,3,3,19
2024-06-24 13:36:41,29,70,222,265,118,0,38,1,2,3,23
2024-06-24 13:41:41,29,71,228,272,143,0,39,1,4,4,32
2024-06-24 13:41:48,29,71,228,272,143,0,39,1,4,4,32
2024-06-24 13:51:41,29,73,226,272,232,0,39,1,3,3,27
2024-06-24 14:01:43,28,72,228,285,231,0,39,1,3,3,25
2024-06-24 14:06:41,28,74,229,272,249,0,39,1,3,3,25
2024-06-24 14:11:40,28,74,230,276,287,0,39,1,4,4,28
2024-06-24 14:16:41,28,74,221,258,327,0,40,1,3,3,31
2024-06-24 14:21:40,28,74,220,264,380,0,40,1,4,4,34
2024-06-24 14:26:40,28,75,228,277,366,0,40,1,4,4,52
2024-06-24 14:31:40,29,75,231,276,420,0,40,1,4,4,50
2024-06-24 14:36:42,29,75,232,289,370,0,41,1,3,3,56
2024-06-24 14:41:42,29,74,237,310,323,0,41,1,3,3,49
2024-06-24 14:46:40,29,74,234,280,282,0,41,1,3,3,44
2024-06-24 14:51:40,29,75,244,313,259,0,41,1,7,7,46
2024-06-24 14:56:40,29,74,223,259,231,0,41,1,5,5,51
2024-06-24 15:01:39,29,74,222,277,220,0,41,1,5,5,52
2024-06-24 15:06:39,29,74,231,297,207,0,42,1,5,5,50
2024-06-24 15:11:39,29,74,229,305,167,0,42,1,5,5,50
2024-06-24 15:16:54,29,74,232,317,130,0,42,1,5,5,50
2024-06-24 15:21:39,29,73,229,275,123,0,42,1,5,5,53
2024-06-24 15:26:40,29,73,233,302,110,0,42,1,5,5,53
2024-06-24 15:31:39,29,72,226,270,88,0,42,1,4,4,56
2024-06-24 15:36:39,29,72,229,266,70,0,42,1,5,5,54
2024-06-24 15:41:40,29,73,226,270,51,8,41,1,5,5,49
2024-06-24 15:46:39,29,73,219,251,29,0,41,1,5,5,49
