Time,Tm,Rh,Na,Np,Li,H2s,Nh3,No2,Pm2,Pm10,Voc
2024-05-26 18:18:11,32,70,46,47,697,0,29,0,4,4,140
2024-05-26 18:23:12,32,72,46,47,697,0,29,0,4,4,129
2024-05-26 18:28:13,31,73,46,146,697,0,29,0,4,4,111
2024-05-26 18:33:14,31,73,46,47,505,0,29,0,4,4,118
2024-05-26 18:38:15,31,74,46,47,347,0,30,0,3,3,116
2024-05-26 18:43:15,31,73,47,120,255,0,29,0,4,4,113
2024-05-26 18:48:16,31,74,46,47,182,0,29,0,4,4,108
2024-05-26 18:53:17,31,74,46,47,95,0,29,0,3,3,97
2024-05-26 18:58:18,31,74,46,52,78,0,29,0,5,5,85
2024-05-26 19:03:19,31,74,46,47,57,0,29,0,4,4,76
2024-05-26 19:08:19,30,74,46,47,11,0,29,0,4,4,79
2024-05-26 19:13:20,30,75,46,47,3,0,29,0,4,4,75
2024-05-26 19:18:21,30,75,46,47,3,0,29,0,4,4,84
2024-05-26 19:23:21,30,75,46,47,4,0,29,0,4,4,68
2024-05-26 19:28:22,30,75,46,47,3,0,29,0,5,5,65
2024-05-26 19:33:23,30,75,46,62,3,0,29,0,4,4,62
2024-05-26 19:38:24,30,75,46,47,3,0,29,0,4,4,59
2024-05-26 19:43:25,30,75,46,47,3,0,29,0,4,4,72
2024-05-26 19:48:25,30,75,46,47,3,0,30,0,5,5,87
2024-05-26 19:53:26,30,75,46,47,3,0,29,0,5,5,88
2024-05-26 19:58:27,30,74,46,47,5,0,29,0,7,7,102
2024-05-26 20:03:27,30,75,46,47,3,0,29,0,8,8,89
2024-05-26 20:08:28,30,76,46,47,3,0,29,0,6,6,93
2024-05-26 20:13:29,29,76,46,47,3,0,29,0,7,7,90
2024-05-26 20:18:29,29,76,46,47,3,0,29,0,7,7,96
2024-05-26 20:23:30,29,76,46,47,3,0,29,0,9,9,123
2024-05-26 20:28:31,29,76,46,47,3,0,30,0,10,10,128
2024-05-26 20:33:32,29,76,46,47,3,0,30,0,8,8,123
2024-05-26 20:38:32,29,76,46,47,3,0,30,0,9,9,118
2024-05-26 20:43:33,29,76,46,121,3,0,30,0,7,7,101
2024-05-26 20:48:34,29,76,46,47,3,0,30,0,8,8,101
2024-05-26 20:53:35,29,76,46,47,3,0,30,0,8,8,102
2024-05-26 20:58:35,29,76,46,47,3,0,30,0,7,7,103
2024-05-26 21:03:36,29,76,46,47,3,0,31,0,24,24,348
2024-05-26 21:08:37,29,76,46,47,3,0,30,0,10,10,136
2024-05-26 21:13:38,29,77,46,47,3,0,30,0,9,9,106
2024-05-26 21:18:39,29,77,46,47,3,0,30,0,7,7,97
2024-05-26 21:23:41,29,77,46,47,3,0,30,0,8,8,138
2024-05-26 21:28:40,29,77,46,47,3,0,29,0,8,8,93
2024-05-26 21:33:41,29,77,46,47,3,0,29,0,8,8,89
2024-05-26 21:38:41,29,77,46,47,3,0,29,0,8,8,89
2024-05-26 21:43:42,29,77,46,48,3,0,30,0,9,9,91
2024-05-26 21:48:43,29,77,46,47,3,0,29,0,7,7,88
2024-05-26 21:53:44,29,77,46,47,3,0,29,0,10,10,91
2024-05-26 21:58:44,29,77,46,47,2,0,29,0,8,8,90
2024-05-26 22:03:45,29,77,46,47,3,0,29,0,10,10,107
2024-05-26 22:08:46,29,78,46,47,2,0,30,0,10,10,88
2024-05-26 22:13:47,29,77,46,47,2,0,30,0,10,10,84
2024-05-26 22:18:47,29,77,46,47,3,0,29,0,8,9,70
2024-05-26 22:23:48,29,78,46,145,3,0,29,0,7,8,70
2024-05-26 22:28:49,29,78,46,47,1,0,29,0,8,8,68
2024-05-26 22:33:49,29,78,46,47,3,0,29,0,8,8,68
2024-05-26 22:38:50,29,78,46,47,3,0,29,0,8,8,65
2024-05-26 22:43:51,28,78,46,47,3,0,29,0,8,8,58
2024-05-26 22:48:52,28,79,46,47,3,0,29,0,8,8,60
2024-05-26 22:53:52,28,78,46,47,3,0,29,0,8,8,58
2024-05-26 22:58:53,28,78,46,47,3,0,29,0,7,7,59
2024-05-26 23:03:54,28,79,46,47,3,0,29,0,8,8,58
2024-05-26 23:08:54,28,79,46,47,3,0,29,0,7,7,55
2024-05-26 23:13:55,28,79,46,47,3,0,29,0,9,9,54
2024-05-26 23:18:56,28,79,46,47,3,0,29,0,8,8,54
2024-05-26 23:23:57,28,78,46,47,3,0,29,0,7,7,50
2024-05-26 23:28:57,28,78,46,47,3,0,28,0,9,9,47
2024-05-26 23:33:58,28,78,46,47,2,0,29,0,9,9,44
2024-05-26 23:38:59,28,78,46,47,8,0,29,0,8,8,45
2024-05-26 23:44:00,28,78,46,47,3,0,29,0,7,7,45
2024-05-26 23:49:00,28,78,46,47,4,0,28,0,8,8,43
2024-05-26 23:54:01,28,78,46,47,3,0,28,0,8,8,43
2024-05-26 23:59:02,28,78,46,47,2,0,28,0,8,8,42
