Time,Tm,Rh,Na,Np,Li,H2s,Nh3,No2,Pm2,Pm10,Voc
2024-04-28 21:28:11,29,79,58,69,3,0,26,1,5,5,21
2024-04-28 21:33:10,29,79,54,65,3,0,27,1,5,5,23
2024-04-28 21:38:10,29,79,56,65,4,0,28,1,5,5,25
2024-04-28 21:43:11,29,79,57,72,3,0,27,1,5,5,25
2024-04-28 21:48:10,29,79,57,73,4,0,28,1,5,5,25
2024-04-28 21:53:11,29,79,51,63,4,0,28,1,5,5,37
2024-04-28 21:58:09,29,79,50,61,4,0,27,1,6,6,32
2024-04-28 22:03:11,29,79,50,58,3,0,26,1,5,5,22
2024-04-28 22:08:09,29,80,48,54,4,0,27,1,5,5,21
2024-04-28 22:13:09,29,80,48,63,3,0,26,1,5,5,20
2024-04-28 22:18:08,29,80,47,51,4,0,27,1,5,5,20
2024-04-28 22:23:08,28,79,47,52,3,0,26,1,5,5,19
2024-04-28 22:28:08,28,79,47,56,3,0,24,1,5,5,18
2024-04-28 22:33:08,28,80,47,51,3,0,25,1,5,5,17
2024-04-28 22:38:07,28,81,47,48,3,0,27,1,5,5,19
2024-04-28 22:43:07,28,81,47,48,3,0,27,1,5,5,23
2024-04-28 22:48:07,28,81,47,48,3,0,25,1,5,5,22
2024-04-28 22:53:07,28,81,47,49,4,0,26,1,6,6,22
2024-04-28 22:58:07,28,81,47,49,3,0,25,1,5,5,25
2024-04-28 23:03:07,28,81,47,48,3,0,25,1,5,5,23
2024-04-28 23:08:07,28,81,47,48,3,0,24,1,4,4,21
2024-04-28 23:13:07,28,82,47,48,3,0,25,1,5,5,20
2024-04-28 23:18:06,28,82,47,48,3,0,25,1,6,6,21
2024-04-28 23:23:06,28,82,47,48,4,0,26,1,7,7,30
2024-04-28 23:28:06,28,83,47,48,3,0,27,1,7,7,56
2024-04-28 23:33:06,28,83,47,48,4,0,27,1,8,8,83
2024-04-28 23:38:06,28,83,47,48,4,0,28,1,8,8,86
2024-04-28 23:43:06,28,81,47,48,4,0,28,1,9,9,91
2024-04-28 23:48:06,29,81,47,48,4,0,28,1,8,8,94
2024-04-28 23:53:06,29,82,47,96,4,0,28,1,7,7,93
2024-04-28 23:58:06,29,81,47,48,3,0,28,1,8,8,86
2024-04-29 00:03:05,29,81,47,48,2,0,30,1,7,7,111
2024-04-29 00:08:05,29,81,47,48,4,0,31,1,8,8,87
2024-04-29 00:13:05,29,80,47,48,3,0,28,1,7,7,81
2024-04-29 00:18:05,29,81,47,48,3,0,29,1,6,6,70
2024-04-29 00:23:04,29,80,47,48,4,0,30,1,6,6,69
2024-04-29 00:28:04,29,79,47,48,4,0,29,1,6,6,65
2024-04-29 00:33:04,29,80,47,48,3,0,28,1,7,7,63
2024-04-29 00:38:04,29,80,47,48,3,0,29,1,6,6,59
2024-04-29 00:43:04,29,80,47,48,3,0,29,1,7,7,62
2024-04-29 00:48:04,28,80,47,48,4,0,27,1,6,6,50
2024-04-29 00:53:04,28,80,47,48,4,0,26,1,7,7,45
2024-04-29 00:58:03,28,80,47,48,3,0,28,1,6,6,48
2024-04-29 01:03:03,28,80,47,48,4,0,28,1,6,6,48
2024-04-29 01:08:03,28,80,47,48,3,0,28,1,7,7,50
2024-04-29 01:13:03,28,79,47,48,3,0,28,1,6,6,52
2024-04-29 01:18:03,28,79,47,48,4,0,25,1,5,5,40
