Time,Tm,Rh,Na,Np,Li,H2s,Nh3,No2,Pm2,Pm10,Voc
2024-04-28 21:22:16,30,76,46,62,12,0,51,1,8,8,40
2024-04-28 21:27:17,30,79,46,49,14,1,54,1,7,7,114
2024-04-28 21:32:17,30,79,46,49,12,0,59,2,7,8,178
2024-04-28 21:37:18,30,77,48,159,3,0,50,1,6,7,30
2024-04-28 21:42:19,30,78,46,50,11,0,51,1,6,6,50
2024-04-28 21:47:20,30,77,46,68,12,0,49,1,6,6,27
2024-04-28 21:52:20,30,78,46,96,11,0,52,1,6,7,71
2024-04-28 21:57:23,30,78,46,47,12,0,50,1,6,6,42
2024-04-28 22:02:22,30,77,46,49,12,1,52,1,5,5,73
2024-04-28 22:07:23,30,78,46,67,7,0,51,1,6,6,43
2024-04-28 22:12:24,30,77,46,51,4,0,50,1,6,6,31
2024-04-28 22:17:26,30,78,46,52,4,0,48,1,6,6,28
2024-04-28 22:17:29,30,78,46,52,4,0,48,1,6,6,28
2024-04-28 22:22:26,30,79,46,49,11,0,51,1,7,7,58
2024-04-28 22:27:25,30,80,46,47,12,0,55,1,6,6,88
2024-04-28 22:32:26,30,79,46,56,3,1,50,1,6,7,34
2024-04-28 22:37:27,29,80,46,57,11,0,52,1,7,8,92
2024-04-28 22:42:28,29,79,46,47,3,0,53,1,6,6,86
2024-04-28 22:47:28,29,80,46,49,11,0,50,1,7,8,84
2024-04-28 22:52:29,29,79,46,47,13,0,50,1,7,8,55
2024-04-28 22:57:30,29,79,46,47,13,0,52,1,6,7,52
2024-04-28 23:02:31,29,79,46,54,3,0,49,1,5,6,34
2024-04-28 23:07:32,29,80,46,48,6,0,51,1,6,6,45
2024-04-28 23:12:32,29,79,46,85,3,0,48,1,6,6,31
2024-04-28 23:17:33,29,80,46,47,13,0,48,1,6,6,28
2024-04-28 23:22:34,29,80,46,47,12,0,48,1,10,10,89
2024-04-28 23:27:35,29,80,46,63,7,0,49,1,9,9,78
2024-04-28 23:32:36,29,81,46,47,3,0,50,1,10,10,94
2024-04-28 23:37:37,29,81,46,51,10,0,50,1,10,10,97
2024-04-28 23:42:38,30,81,46,103,8,0,55,1,8,8,159
2024-04-28 23:47:38,30,80,46,47,8,0,50,1,9,9,77
2024-04-28 23:52:39,30,80,46,88,12,1,53,1,9,9,98
2024-04-28 23:57:40,30,80,47,130,13,0,56,1,9,9,184
2024-04-29 00:02:41,30,79,46,47,9,0,52,1,9,9,142
2024-04-29 00:07:41,30,81,46,47,4,0,53,1,9,9,241
2024-04-29 00:12:42,30,79,46,47,12,1,51,1,8,8,104
2024-04-29 00:17:43,30,78,46,47,9,1,51,1,8,8,93
2024-04-29 00:22:44,30,79,46,47,3,1,51,1,8,8,88
2024-04-29 00:27:45,30,78,47,183,12,0,55,1,8,8,144
2024-04-29 00:32:46,30,79,46,50,11,0,52,1,9,9,81
2024-04-29 00:37:47,30,79,46,48,13,1,52,1,7,7,123
2024-04-29 00:42:47,30,78,46,103,11,0,52,1,9,9,121
2024-04-29 00:47:48,29,79,46,60,3,0,53,1,9,9,115
2024-04-29 00:52:49,29,79,46,52,11,0,54,1,8,8,119
2024-04-29 00:57:50,29,79,46,47,12,0,52,1,7,7,110
2024-04-29 01:02:51,29,79,46,50,9,0,52,1,7,7,116
2024-04-29 01:07:52,29,78,46,47,12,0,52,1,6,6,117
2024-04-29 01:12:53,29,80,46,101,3,0,55,1,8,8,208
2024-04-29 01:17:54,29,78,46,47,3,0,52,1,5,5,83
2024-04-29 01:22:54,29,78,46,50,3,0,53,1,7,7,73
2024-04-29 01:27:55,29,78,46,47,12,0,50,1,7,7,80
2024-04-29 01:32:56,29,79,46,52,11,0,53,1,6,6,174
2024-04-29 01:37:57,29,79,46,54,11,0,55,1,8,8,131
2024-04-29 01:42:58,29,78,47,165,3,0,50,1,6,7,59
2024-04-29 01:47:58,29,77,46,47,12,4,47,1,6,6,28
2024-04-29 01:52:59,29,79,46,49,10,0,47,1,6,6,47
2024-04-29 01:58:00,29,79,46,66,3,0,52,1,6,6,136
2024-04-29 02:03:01,29,79,46,47,3,0,49,1,6,6,66
2024-04-29 02:08:02,29,78,46,53,3,0,47,1,6,6,32
2024-04-29 02:13:02,29,79,46,109,12,0,51,1,7,8,81
2024-04-29 02:18:03,29,80,46,147,3,0,55,1,5,6,118
2024-04-29 02:23:04,29,79,46,48,13,0,51,1,6,6,71
2024-04-29 02:28:05,29,80,46,73,12,0,48,1,6,7,52
2024-04-29 02:33:06,28,79,46,47,3,0,48,1,7,7,60
2024-04-29 02:38:06,28,80,46,47,11,1,50,1,6,6,81
2024-04-29 02:43:07,28,79,46,47,12,1,46,1,6,6,31
2024-04-29 02:48:08,28,80,46,51,3,0,48,1,6,6,56
2024-04-29 02:53:09,28,80,46,47,11,0,49,1,7,7,55
2024-04-29 02:58:09,28,82,46,47,3,0,52,1,7,7,220
2024-04-29 03:03:10,28,81,46,47,12,0,50,1,6,6,78
2024-04-29 03:08:11,28,80,46,47,11,1,50,1,6,6,62
2024-04-29 03:13:11,28,80,46,47,12,0,47,1,7,7,37
2024-04-29 03:18:12,28,81,46,47,3,0,50,1,6,6,138
2024-04-29 03:23:13,28,81,46,52,12,0,55,1,7,7,162
2024-04-29 03:28:14,28,80,47,177,3,0,51,1,8,9,81
2024-04-29 03:33:14,28,80,46,98,11,0,48,1,7,7,50
2024-04-29 03:38:15,28,81,46,47,9,0,52,1,9,10,98
2024-04-29 03:43:16,28,80,46,121,3,0,47,1,7,7,25
2024-04-29 03:48:17,28,80,46,50,12,0,48,1,8,8,39
2024-04-29 03:53:17,28,80,46,47,12,0,47,1,8,8,30
2024-04-29 03:58:18,28,80,46,47,11,0,47,1,8,8,38
2024-04-29 04:03:19,28,82,46,47,11,0,47,1,8,8,39
2024-04-29 04:08:20,28,81,46,47,11,0,48,1,7,7,50
2024-04-29 04:13:20,28,82,47,135,3,0,52,1,9,9,85
2024-04-29 04:18:21,28,81,49,218,11,0,46,1,8,8,20
2024-04-29 04:23:22,28,82,46,51,12,0,48,1,9,9,30
2024-04-29 04:28:23,28,83,46,74,12,11,49,1,9,10,72
2024-04-29 04:33:23,28,83,46,47,3,0,47,1,8,8,30
2024-04-29 04:38:24,28,83,46,59,3,0,47,1,8,8,33
2024-04-29 04:43:25,28,84,46,94,3,0,51,1,11,11,101
2024-04-29 04:48:26,28,83,46,56,7,1,49,1,10,10,72
2024-04-29 04:53:26,28,84,46,88,11,1,49,1,9,9,37
2024-04-29 04:58:27,28,85,46,74,3,0,50,1,10,10,59
2024-04-29 05:03:28,28,84,46,48,12,0,50,1,10,10,53
2024-04-29 05:08:29,28,83,46,47,12,1,49,1,9,9,66
2024-04-29 05:13:29,28,86,46,47,3,0,55,1,11,11,130
2024-04-29 05:18:30,28,84,46,53,3,0,53,1,11,11,89
2024-04-29 05:23:31,29,84,46,52,10,0,51,1,9,9,64
2024-04-29 05:28:32,29,84,46,58,12,1,52,1,9,9,92
2024-04-29 05:33:32,29,83,46,62,3,0,50,1,9,9,64
2024-04-29 05:38:33,29,84,46,47,3,0,55,1,9,10,158
2024-04-29 05:43:34,29,83,46,55,11,0,53,1,11,11,73
2024-04-29 05:48:34,29,82,46,54,4,0,52,1,10,10,67
2024-04-29 05:53:35,29,82,46,59,11,8,55,1,9,9,123
2024-04-29 05:58:36,29,83,46,49,11,0,54,1,10,10,100
2024-04-29 06:03:37,29,82,46,53,11,0,51,1,8,8,53
2024-04-29 06:08:38,29,82,46,48,3,0,52,1,10,10,106
2024-04-29 06:13:39,29,82,46,47,16,0,56,1,10,10,148
2024-04-29 06:18:39,29,81,46,47,25,0,51,1,9,9,61
2024-04-29 06:23:40,29,82,46,58,42,1,57,1,11,11,156
2024-04-29 06:28:41,29,81,48,286,34,0,51,1,9,9,40
2024-04-29 06:33:42,29,81,47,105,108,0,54,1,11,11,76
2024-04-29 06:38:42,29,82,47,105,252,1,59,1,10,11,130
2024-04-29 06:43:43,29,81,46,75,398,0,56,1,10,10,109
2024-04-29 06:48:44,29,81,46,76,504,0,55,1,8,9,78
2024-04-29 06:53:45,29,82,47,73,648,1,55,1,9,9,93
2024-04-29 06:58:46,29,81,46,98,699,4,55,1,8,8,84
2024-04-29 07:03:46,29,82,49,307,698,1,55,1,12,12,88
2024-04-29 07:08:47,29,81,46,50,698,0,57,1,11,11,69
2024-04-29 07:13:48,29,82,47,108,698,0,58,1,11,11,143
2024-04-29 07:18:49,29,82,47,102,698,0,52,1,9,9,45
2024-04-29 07:23:50,29,83,46,92,693,0,57,1,9,9,116
2024-04-29 07:28:50,29,83,46,55,697,0,56,1,9,10,107
2024-04-29 07:33:51,29,83,47,102,697,0,56,1,12,12,93
2024-04-29 07:38:52,30,83,47,119,697,0,60,1,16,16,231
2024-04-29 07:43:53,30,81,47,102,697,0,57,1,9,9,75
2024-04-29 07:48:54,30,81,47,92,697,1,58,1,11,12,110
2024-04-29 07:53:55,30,80,48,166,697,0,59,1,10,10,112
