Time,Tm,Rh,Na,Np,Li,H2s,Nh3,No2,Pm2,Pm10,Voc
2024-08-29 01:49:03,26,81,47,51,4,0,20,0,7,7,112
2024-08-29 01:54:03,26,81,47,48,3,0,20,0,8,8,114
2024-08-29 01:59:03,26,81,47,48,3,0,20,0,7,7,116
2024-08-29 02:04:03,26,81,47,48,3,0,20,0,8,8,122
2024-08-29 02:09:02,26,81,47,48,2,0,20,0,9,9,131
2024-08-29 02:14:02,26,81,47,48,4,0,20,0,10,10,144
2024-08-29 02:19:02,26,81,47,48,4,0,20,0,8,8,164
2024-08-29 02:24:02,26,81,47,48,4,0,20,0,10,10,173
2024-08-29 02:29:02,26,81,47,48,4,0,20,0,10,10,185
2024-08-29 02:34:02,26,81,47,49,3,0,20,0,11,11,193
2024-08-29 02:39:02,26,81,47,48,4,0,20,0,10,10,197
2024-08-29 02:44:02,26,81,47,48,3,0,20,0,11,11,205
2024-08-29 02:49:02,26,81,47,48,3,0,20,0,11,11,208
2024-08-29 03:04:02,26,80,47,51,3,0,20,0,12,12,206
2024-08-29 03:09:02,26,81,47,48,4,0,20,0,11,11,208
2024-08-29 03:14:02,26,81,47,48,5,0,20,0,12,12,210
2024-08-29 03:19:01,26,80,47,48,4,0,20,0,11,11,206
2024-08-29 03:24:01,26,80,47,48,4,0,20,0,12,12,200
2024-08-29 03:29:01,26,81,47,48,3,0,20,0,11,11,196
2024-08-29 03:34:01,26,81,47,48,3,0,20,0,12,12,197
2024-08-29 03:39:01,26,81,47,48,4,0,20,0,11,12,195
2024-08-29 03:44:01,26,81,47,49,3,0,20,0,12,12,189
2024-08-29 03:49:01,26,81,47,49,4,0,20,0,12,12,194
2024-08-29 03:54:01,26,81,47,48,4,0,20,0,12,12,191
2024-08-29 03:59:01,26,81,47,48,4,0,20,0,12,12,193
2024-08-29 04:04:01,26,81,47,48,4,0,20,0,12,12,189
2024-08-29 04:09:01,26,81,47,48,3,0,20,0,13,13,192
2024-08-29 04:14:01,26,81,47,58,4,0,20,0,13,13,196
2024-08-29 04:19:01,26,81,47,48,3,0,20,0,12,12,203
2024-08-29 04:24:01,26,81,47,48,3,0,20,0,13,13,207
2024-08-29 04:29:01,26,81,47,48,3,0,20,0,13,13,201
2024-08-29 04:34:01,26,81,47,49,4,0,20,0,12,12,204
2024-08-29 04:39:01,26,81,47,48,3,0,20,0,13,13,205
2024-08-29 04:44:01,26,81,47,48,4,0,20,0,13,14,205
2024-08-29 04:49:01,26,81,47,49,4,0,20,0,13,13,204
2024-08-29 04:54:02,26,81,47,49,3,0,21,0,13,13,205
2024-08-29 04:59:00,26,81,46,48,4,0,20,0,14,14,203
2024-08-29 05:09:00,26,81,48,51,3,0,20,0,15,15,208
2024-08-29 05:14:00,26,81,47,48,2,0,20,0,14,14,208
2024-08-29 05:19:00,26,80,47,49,4,0,20,0,15,15,197
2024-08-29 05:24:00,26,81,47,49,5,0,20,0,15,15,197
2024-08-29 05:29:00,26,81,47,48,4,0,20,0,15,15,197
2024-08-29 05:33:59,26,80,47,48,3,0,20,0,14,14,192
2024-08-29 05:38:59,26,81,47,48,4,0,20,0,13,14,194
2024-08-29 05:44:00,26,80,47,48,4,0,20,0,14,15,195
2024-08-29 05:48:59,26,81,47,49,3,0,20,0,15,15,198
2024-08-29 05:53:59,26,81,47,48,3,0,20,0,14,14,190
2024-08-29 05:58:59,26,81,47,48,2,0,20,0,15,15,186
2024-08-29 06:03:59,26,81,47,48,0,0,20,0,15,15,186
2024-08-29 06:08:59,26,81,47,48,4,0,20,0,13,13,182
2024-08-29 06:13:59,26,81,47,48,4,0,20,0,13,13,181
2024-08-29 06:18:59,26,81,47,49,3,0,20,0,15,15,174
2024-08-29 06:23:58,26,80,47,48,4,0,20,0,13,13,169
2024-08-29 06:28:59,26,80,47,48,8,0,20,0,13,13,162
2024-08-29 06:33:58,26,80,47,49,3,0,20,0,14,14,160
2024-08-29 06:38:58,26,80,47,48,3,0,20,0,13,13,154
2024-08-29 06:43:58,26,80,47,48,3,0,20,0,13,13,156
2024-08-29 06:48:58,26,81,47,48,3,0,20,0,14,14,153
2024-08-29 06:53:58,26,80,47,48,4,0,20,0,13,13,144
2024-08-29 06:58:58,26,80,47,48,3,0,20,0,14,14,144
2024-08-29 07:03:58,26,80,47,48,3,0,20,0,14,14,144
2024-08-29 07:08:58,26,80,47,48,3,0,20,0,13,13,141
2024-08-29 07:13:58,26,81,47,49,3,0,20,0,13,13,144
2024-08-29 07:18:58,25,80,47,48,2,0,19,0,12,12,93
2024-08-29 07:23:58,25,80,47,49,3,0,19,0,11,11,94
2024-08-29 07:28:58,25,80,47,48,3,0,19,0,11,11,75
2024-08-29 07:33:58,25,80,47,49,4,0,19,0,10,10,84
2024-08-29 07:38:58,25,80,47,49,4,0,19,0,10,10,85
2024-08-29 07:43:57,25,80,47,48,4,0,19,0,10,10,84
2024-08-29 07:48:57,25,80,47,48,1,0,19,0,11,11,84
2024-08-29 07:53:57,25,80,47,48,4,0,19,0,10,11,85
2024-08-29 07:58:57,25,80,47,49,4,0,19,0,10,10,96
2024-08-29 08:03:57,25,80,47,48,5,0,20,0,10,10,94
2024-08-29 08:08:57,25,80,47,48,4,0,19,0,11,11,94
2024-08-29 13:37:32,26,82,46,51,703,0,7,1,13,13,89
2024-08-29 13:42:32,26,81,47,48,703,0,9,0,12,12,97
2024-08-29 13:47:32,26,80,47,48,702,0,11,0,13,13,105
2024-08-29 13:52:32,26,78,48,145,703,0,12,0,12,12,100
2024-08-29 13:57:32,27,78,47,48,701,0,13,0,11,11,100
2024-08-29 14:02:31,27,77,47,48,703,0,13,0,13,13,112
2024-08-29 14:07:31,27,77,47,48,702,0,13,0,11,11,95
2024-08-29 14:12:31,27,75,47,48,701,0,16,0,9,9,132
2024-08-29 14:17:31,28,74,47,48,702,0,14,0,10,10,86
2024-08-29 14:22:31,28,73,47,48,702,0,14,0,10,10,102
2024-08-29 14:27:30,28,72,47,48,703,0,14,0,11,11,68
2024-08-29 14:27:35,28,72,47,48,703,0,14,0,11,11,68
2024-08-29 14:27:40,28,72,47,48,703,0,14,0,11,11,68
2024-08-29 14:27:45,28,72,47,48,703,0,14,0,11,11,68
2024-08-29 14:32:30,28,72,47,49,703,0,14,0,10,10,52
2024-08-29 14:37:30,28,73,47,48,703,0,16,0,9,9,287
2024-08-29 14:42:30,28,73,47,48,703,0,15,0,10,10,76
2024-08-29 14:47:30,28,72,48,147,702,0,14,0,10,10,59
2024-08-29 14:52:30,28,72,47,48,703,0,15,0,9,9,62
2024-08-29 14:57:30,28,72,47,48,703,0,15,0,9,9,58
2024-08-29 15:02:32,28,71,47,48,703,0,16,0,10,10,101
2024-08-29 15:07:29,28,70,47,48,703,0,15,0,10,10,62
2024-08-29 15:17:29,28,72,47,49,703,0,29,0,11,11,481
2024-08-29 15:22:28,28,72,47,48,703,0,20,0,11,11,346
2024-08-29 15:27:29,29,69,47,48,703,0,17,0,10,10,107
2024-08-29 15:32:30,29,69,47,50,702,0,17,0,11,11,180
2024-08-29 15:37:28,29,70,47,48,703,0,16,0,14,14,95
2024-08-29 15:42:27,29,69,47,48,703,0,16,0,11,11,88
2024-08-29 15:47:28,29,70,47,48,702,0,16,0,9,9,64
2024-08-29 15:52:27,29,70,47,75,702,0,17,0,9,9,59
2024-08-29 15:57:27,29,69,47,50,703,0,16,0,10,10,52
2024-08-29 16:02:26,29,68,47,67,703,0,16,0,9,9,50
2024-08-29 16:07:26,29,69,47,48,703,0,17,0,10,10,111
2024-08-29 16:12:26,29,70,47,48,703,0,17,0,11,11,85
2024-08-29 16:17:26,29,70,47,48,706,0,16,0,10,10,78
2024-08-29 16:22:26,29,70,48,224,702,0,17,0,10,10,76
2024-08-29 16:27:28,29,70,48,267,703,0,17,0,9,9,70
2024-08-29 16:32:26,29,70,47,48,702,0,17,0,10,10,79
2024-08-29 16:37:26,29,71,47,106,702,0,17,0,10,10,74
2024-08-29 16:42:25,29,71,47,48,702,0,17,0,10,10,87
2024-08-29 16:47:26,29,70,47,105,702,0,17,0,17,17,176
2024-08-29 16:52:25,29,71,47,100,703,0,19,0,15,15,349
2024-08-29 16:57:25,29,71,47,48,703,0,17,0,11,11,101
2024-08-29 17:02:24,29,71,47,48,702,0,17,0,11,11,84
2024-08-29 17:07:24,29,71,47,48,702,0,18,0,16,16,157
2024-08-29 17:12:24,29,71,47,48,703,0,17,0,14,14,141
2024-08-29 17:17:24,29,70,47,49,703,0,17,0,12,12,82
2024-08-29 17:22:24,29,70,47,48,704,0,19,0,95,95,462
2024-08-29 17:27:23,29,71,47,48,702,0,19,0,38,38,429
2024-08-29 17:32:25,29,70,47,48,703,0,18,0,12,12,121
2024-08-29 17:37:23,29,71,47,48,702,0,18,0,11,11,89
2024-08-29 17:42:23,28,71,47,48,701,0,17,0,10,10,79
2024-08-29 17:47:23,28,71,47,48,703,0,17,0,10,10,74
2024-08-29 17:52:23,28,70,47,48,702,0,17,0,12,12,76
2024-08-29 17:57:23,28,71,47,48,702,0,17,0,11,11,78
2024-08-29 18:02:23,28,70,47,48,702,0,17,0,12,12,94
2024-08-29 18:07:22,28,71,47,48,701,0,18,0,12,12,105
2024-08-29 18:12:22,28,71,47,48,703,0,18,0,13,13,116
2024-08-29 18:17:22,28,71,47,48,703,0,17,0,12,12,77
2024-08-29 18:22:22,28,72,47,48,702,0,18,0,11,11,76
2024-08-29 18:27:22,28,72,47,48,702,0,19,0,11,11,91
2024-08-29 18:32:22,28,73,47,48,703,0,19,0,10,10,112
2024-08-29 18:37:22,28,72,47,48,686,0,18,0,10,10,95
