Time,Tm,Rh,Na,Np,Li,H2s,Nh3,No2,Pm2,Pm10,Voc
6/3/2024 2:44,25,79,46,47,3,0,27,0,6,6,69
6/3/2024 2:49,25,78,46,47,3,0,27,0,7,7,67
6/3/2024 2:54,25,78,46,47,3,0,28,0,7,7,65
6/3/2024 2:59,25,78,46,47,3,0,28,0,8,8,66
6/3/2024 3:04,25,79,46,47,3,0,28,0,7,7,72
6/3/2024 3:09,25,79,46,47,3,0,27,0,7,7,72
6/3/2024 3:14,25,78,46,47,3,0,28,0,6,6,69
6/3/2024 3:19,25,78,46,47,3,0,28,0,7,7,116
6/3/2024 3:24,25,78,46,47,3,0,28,0,7,7,107
6/3/2024 3:29,25,78,46,47,1,0,27,0,7,7,85
6/3/2024 3:34,25,78,46,47,3,0,27,0,6,6,78
6/3/2024 3:39,25,78,46,47,2,0,27,0,7,7,78
6/3/2024 3:44,25,78,46,47,3,0,27,0,7,7,75
6/3/2024 3:49,25,79,46,47,3,0,27,0,6,6,67
6/3/2024 3:55,24,78,46,47,3,0,27,0,6,6,60
6/3/2024 4:00,24,78,46,47,3,0,27,0,7,7,58
6/3/2024 4:05,24,79,46,47,2,0,27,0,6,6,56
6/3/2024 4:10,24,78,46,47,3,0,27,0,7,7,56
6/3/2024 4:15,24,78,46,47,3,0,27,0,7,7,54
6/3/2024 4:20,24,79,46,47,3,0,27,0,6,6,55
6/3/2024 8:04,22,100,46,50,700,0,27,1,0,0,97
6/3/2024 8:09,22,99,46,47,699,0,28,1,0,0,97
6/3/2024 8:14,23,96,46,47,699,0,28,1,0,0,99
6/3/2024 8:19,24,93,46,47,699,1,29,1,0,0,99
6/3/2024 8:24,24,91,46,47,699,0,29,1,9,9,101
6/3/2024 8:29,25,90,46,47,699,0,28,0,15,15,101
6/3/2024 8:34,25,89,46,47,699,0,28,0,13,13,100
6/3/2024 8:39,25,88,46,47,698,0,28,0,13,13,136
6/3/2024 8:44,26,87,46,47,699,0,28,0,12,12,93
6/3/2024 8:49,26,86,46,47,698,0,28,0,14,14,89
6/3/2024 8:54,27,84,46,47,699,0,28,0,11,11,49
6/3/2024 8:59,27,82,46,47,699,0,28,0,6,6,27
6/3/2024 9:04,27,81,46,47,697,0,29,0,6,6,37
6/3/2024 9:09,27,78,46,47,698,0,30,0,5,5,21
6/3/2024 9:14,28,78,46,47,699,0,28,0,3,3,23
6/3/2024 9:19,28,77,46,47,699,0,27,0,4,4,27
6/3/2024 9:24,28,73,46,47,698,0,28,0,3,3,27
6/3/2024 9:29,29,73,46,47,698,0,29,0,2,2,41
6/3/2024 9:34,29,73,46,80,698,0,28,0,2,2,30
6/3/2024 9:39,29,74,46,47,698,0,29,0,2,2,41
6/3/2024 9:44,29,73,46,106,698,0,30,0,3,3,47
6/3/2024 9:49,30,70,46,47,697,0,29,0,2,2,36
6/3/2024 9:54,30,67,46,47,697,0,28,0,1,1,25
6/3/2024 9:59,30,67,46,47,698,0,27,0,2,2,27
6/3/2024 10:04,30,66,46,49,698,0,27,0,1,1,25
6/3/2024 10:09,30,63,46,47,697,0,27,0,1,1,37
6/3/2024 10:14,31,63,46,47,697,0,25,0,2,2,31
6/3/2024 10:19,31,64,46,47,697,0,27,0,1,1,45
6/3/2024 10:24,31,64,46,146,698,0,27,0,1,1,50
6/3/2024 10:29,31,66,46,47,696,0,28,0,2,2,41
6/3/2024 10:34,31,65,46,47,698,0,28,0,4,4,57
6/3/2024 10:39,31,63,46,47,698,0,26,0,2,2,35
6/3/2024 10:44,32,63,46,47,697,0,27,0,2,2,35
6/3/2024 10:49,32,62,46,47,697,0,26,0,1,1,36
6/3/2024 10:54,32,63,46,49,698,0,28,0,1,1,80
6/3/2024 10:59,32,63,46,134,697,0,27,0,2,2,40
6/3/2024 11:04,32,62,46,47,697,0,27,0,1,1,43
6/3/2024 11:09,32,61,46,47,697,0,27,0,2,2,49
6/3/2024 11:14,32,60,47,151,697,0,27,0,2,2,43
6/3/2024 11:19,33,63,46,142,697,0,28,0,3,3,56
6/3/2024 11:24,33,65,46,47,697,0,29,0,1,1,63
6/3/2024 11:29,33,61,46,47,698,0,28,0,1,1,56
6/3/2024 11:34,33,62,46,99,698,0,29,0,1,1,61
6/3/2024 11:39,33,60,46,47,697,0,30,0,2,2,63
6/3/2024 11:44,33,58,47,158,697,0,27,0,1,1,47
6/3/2024 11:49,33,60,46,47,697,0,29,0,1,1,67
6/3/2024 11:54,33,58,46,47,697,0,29,0,1,1,60
6/3/2024 11:59,33,58,46,47,698,0,28,0,1,1,49
6/3/2024 12:04,33,59,46,47,697,0,28,0,2,2,68
6/3/2024 12:09,34,60,46,47,698,0,30,0,1,1,86
6/3/2024 12:14,34,60,46,47,697,0,30,0,1,1,67
6/3/2024 12:19,34,59,46,116,696,0,30,0,2,2,64
6/3/2024 12:24,34,58,46,47,697,0,30,0,1,1,62
6/3/2024 12:29,34,58,46,47,697,0,30,0,1,1,69
6/3/2024 12:34,34,59,46,47,697,0,31,0,2,2,91
6/3/2024 12:39,34,58,46,47,697,0,30,0,2,2,96
6/3/2024 12:44,34,59,46,47,697,0,30,0,1,1,70
6/3/2024 12:49,34,58,46,47,696,0,31,0,1,1,100
6/3/2024 12:54,34,57,46,47,697,0,30,0,2,2,80
6/3/2024 12:59,34,59,46,47,697,0,30,0,1,1,78
6/3/2024 13:04,34,58,46,47,696,0,30,0,1,1,128
6/3/2024 13:09,34,57,46,47,696,0,30,0,2,2,69
6/3/2024 13:14,34,56,46,62,696,0,29,0,1,1,67
6/3/2024 13:19,35,58,46,59,697,0,29,0,1,1,69
6/3/2024 13:24,35,56,46,47,696,0,29,0,1,1,78
6/3/2024 13:30,35,58,46,47,697,0,31,0,1,1,72
6/3/2024 13:35,35,59,46,47,696,1,31,0,1,1,88
6/3/2024 13:40,35,58,46,47,696,0,30,0,1,1,79
6/3/2024 13:45,35,57,46,47,696,0,30,0,2,2,78
6/3/2024 13:50,35,58,46,47,697,0,30,0,1,1,69
6/3/2024 13:55,35,58,46,68,697,0,30,0,1,1,77
6/3/2024 14:00,35,57,46,47,696,0,30,0,1,1,81
6/3/2024 14:05,35,58,46,51,697,0,31,0,2,2,105
6/3/2024 14:10,35,61,46,47,697,0,33,0,1,1,90
6/3/2024 14:15,35,58,46,47,696,0,31,0,1,1,84
6/3/2024 14:20,35,58,46,47,697,0,31,0,1,1,79
6/3/2024 14:25,35,60,46,47,697,0,31,0,1,1,74
6/3/2024 14:30,35,57,46,47,696,0,31,0,1,1,96
6/3/2024 14:35,35,56,46,47,696,0,30,0,1,1,78
6/3/2024 14:40,35,59,46,47,697,0,32,0,1,1,84
6/3/2024 14:45,35,56,46,47,697,0,30,0,2,2,91
6/3/2024 14:50,35,56,46,47,698,0,30,0,1,1,101
6/3/2024 14:55,35,59,46,47,697,0,31,0,1,1,92
6/3/2024 15:00,35,57,46,47,697,0,31,0,1,1,98
6/3/2024 15:05,35,57,46,47,697,0,31,0,1,1,86
6/3/2024 15:10,35,58,46,47,697,0,31,0,1,1,93
6/3/2024 15:15,35,58,46,47,697,1,32,0,1,1,105
6/3/2024 15:20,35,59,46,47,695,0,32,0,1,1,101
6/3/2024 15:25,35,55,46,47,697,0,31,0,1,1,80
6/3/2024 15:30,35,59,46,47,696,0,32,0,1,1,89
6/3/2024 15:35,35,55,46,75,697,0,31,0,1,1,103
6/3/2024 15:40,35,58,46,69,697,0,32,0,1,1,85
6/3/2024 15:45,35,61,46,47,697,0,33,0,1,1,92
6/3/2024 15:50,35,56,46,47,697,0,32,0,1,1,92
6/3/2024 15:55,35,56,46,47,697,0,32,0,2,2,91
6/3/2024 16:00,35,56,46,47,697,0,31,0,1,1,86
6/3/2024 16:05,35,56,46,47,699,0,31,0,2,2,96
6/3/2024 16:10,35,56,46,47,697,0,31,0,1,1,82
6/3/2024 16:15,35,56,46,47,697,0,31,0,2,2,92
6/3/2024 16:20,35,59,46,49,697,0,31,0,2,2,82
6/3/2024 16:25,35,59,46,47,697,0,31,0,2,2,86
6/3/2024 16:30,35,58,46,47,697,0,31,0,2,2,87
6/3/2024 16:35,35,58,46,47,697,0,31,0,2,2,82
6/3/2024 16:40,35,60,46,47,697,0,30,0,2,2,72
6/3/2024 16:45,34,60,46,57,697,0,31,0,2,2,75
6/3/2024 16:50,34,60,46,47,697,0,31,0,2,2,86
6/3/2024 16:55,34,61,46,47,697,0,32,0,2,2,103
6/3/2024 17:00,34,61,46,47,697,0,32,0,1,1,92
6/3/2024 17:05,34,63,46,47,702,11,31,0,2,2,84
6/3/2024 17:10,34,61,46,47,697,0,31,0,1,1,74
6/3/2024 17:15,34,63,46,47,697,0,32,0,2,2,79
6/3/2024 17:20,34,60,46,66,697,0,30,0,2,2,77
6/3/2024 17:25,34,62,46,118,697,0,30,0,2,2,75
6/3/2024 17:30,34,62,47,106,697,0,30,0,2,2,74
6/3/2024 17:35,33,63,46,51,697,0,30,0,3,3,79
6/3/2024 17:40,33,60,46,47,697,0,30,0,2,2,77
6/3/2024 17:45,33,64,46,47,704,0,29,0,2,2,74
6/3/2024 17:50,33,64,46,47,697,0,30,0,2,2,70
6/3/2024 17:55,33,64,46,47,697,0,30,0,2,2,71
6/3/2024 18:00,33,62,46,47,698,0,30,0,2,2,68
6/3/2024 18:05,33,64,46,47,697,0,30,0,2,2,64
6/3/2024 18:10,33,64,46,83,698,0,30,0,2,2,62
6/3/2024 18:15,32,66,46,47,698,0,30,0,2,2,64
6/3/2024 18:20,32,66,46,47,697,0,30,0,2,2,66
6/3/2024 18:25,32,67,46,55,697,0,30,0,3,3,71
6/3/2024 18:30,32,68,46,47,658,0,30,0,2,2,75
6/3/2024 18:35,32,69,46,47,507,0,30,0,3,3,68
6/3/2024 18:40,32,69,46,47,367,0,31,0,2,2,65
6/3/2024 18:45,32,69,46,47,245,0,31,0,9,9,94
6/3/2024 18:50,31,70,46,47,142,0,31,0,4,4,88
6/3/2024 18:55,31,70,46,47,70,0,31,0,4,4,67
6/3/2024 19:00,31,71,46,47,41,0,31,0,3,3,63
6/3/2024 19:05,31,72,46,47,17,0,31,0,2,2,68
6/3/2024 19:11,31,72,47,159,3,0,31,0,7,7,113
6/3/2024 19:16,31,72,46,53,3,0,31,0,4,4,92
6/3/2024 19:21,31,72,46,47,3,0,31,0,8,8,86
6/3/2024 19:26,30,72,46,47,3,0,31,0,5,5,93
6/3/2024 19:31,30,73,46,47,3,0,31,0,3,3,61
6/3/2024 19:36,30,73,46,47,3,0,30,0,5,5,61
