Time,Tm,Rh,Na,Np,Li,H2s,Nh3,No2,Pm2,Pm10,Voc
2024-08-04 19:25:10,28,73,47,48,3,0,16,0,5,5,146
2024-08-04 19:30:10,28,73,47,48,4,0,16,0,5,5,134
2024-08-04 19:35:10,28,73,47,49,4,0,16,0,6,6,153
2024-08-04 19:40:10,28,74,47,48,4,0,17,0,5,5,152
2024-08-04 19:45:09,28,74,47,48,4,0,17,0,5,5,152
2024-08-04 19:50:21,27,74,47,48,7,0,17,0,5,5,128
2024-08-04 20:00:24,27,74,46,49,3,0,16,0,5,5,89
2024-08-04 20:05:24,27,74,47,50,4,0,16,0,5,5,98
2024-08-04 20:10:24,27,74,47,48,3,0,16,0,5,5,98
2024-08-04 20:15:25,27,74,47,48,3,0,16,0,5,5,101
2024-08-04 20:20:27,27,74,47,48,4,0,16,0,6,6,100
2024-08-04 20:25:24,27,74,47,48,4,0,16,0,5,5,100
2024-08-04 20:30:24,27,74,47,51,3,0,16,0,5,5,104
2024-08-04 20:35:24,27,74,47,48,3,0,16,0,6,6,102
2024-08-04 20:40:23,27,75,47,48,4,0,16,0,5,5,102
2024-08-04 20:45:24,27,75,47,48,4,0,16,0,5,5,101
2024-08-04 20:50:23,27,75,47,49,3,0,16,0,4,4,97
2024-08-04 20:55:23,27,76,47,48,4,0,16,0,5,5,100
2024-08-04 21:00:24,27,76,47,48,3,0,16,0,5,5,123
2024-08-04 21:05:22,27,76,47,48,4,0,16,0,5,5,113
2024-08-04 21:10:22,26,76,47,48,4,0,16,0,5,5,112
2024-08-04 21:15:23,26,76,47,48,3,0,16,0,5,5,120
2024-08-04 21:20:22,26,76,47,48,3,0,16,0,5,5,105
2024-08-04 21:25:22,26,76,47,50,3,0,16,0,5,5,113
2024-08-04 21:30:22,26,77,47,48,3,0,16,0,5,5,133
2024-08-04 21:35:22,26,77,47,49,3,0,16,0,5,5,125
2024-08-04 21:40:22,26,77,47,48,3,0,16,0,5,5,109
2024-08-04 21:45:22,26,77,47,48,3,0,16,0,6,6,129
2024-08-04 21:50:22,26,77,47,48,3,0,16,0,5,5,139
2024-08-04 21:55:22,26,77,47,48,5,0,16,0,5,5,146
2024-08-04 22:00:22,26,77,47,48,4,0,16,0,6,6,140
2024-08-04 22:05:22,26,77,47,48,3,0,16,0,5,5,138
2024-08-04 22:10:22,26,77,47,48,3,0,16,0,5,5,137
2024-08-04 22:15:22,26,78,47,48,3,0,16,0,6,6,153
2024-08-04 22:20:22,26,78,47,48,4,0,16,0,6,6,156
2024-08-04 22:25:21,26,78,47,48,3,0,16,0,6,6,131
2024-08-04 22:30:21,26,78,47,48,3,0,17,0,5,5,154
2024-08-04 22:35:21,26,78,47,48,3,0,17,0,6,6,158
2024-08-04 22:40:21,26,78,47,48,4,0,17,0,5,5,162
2024-08-04 22:45:21,26,78,47,48,4,0,16,0,6,6,145
2024-08-04 22:50:21,26,78,47,48,3,0,17,0,5,5,151
2024-08-04 22:55:21,26,78,47,48,5,0,16,0,5,5,147
2024-08-04 23:00:21,26,78,47,48,1,0,17,0,6,6,149
2024-08-04 23:05:21,26,78,47,48,4,0,17,0,6,6,151
2024-08-04 23:10:21,26,77,47,48,4,0,16,0,6,6,133
2024-08-04 23:15:21,26,78,47,48,4,0,16,0,6,6,149
2024-08-04 23:20:21,26,78,47,48,4,0,17,0,6,6,180
2024-08-04 23:25:20,26,78,47,48,4,0,16,0,6,6,151
2024-08-04 23:30:20,26,78,47,48,2,0,16,0,6,6,162
2024-08-04 23:35:20,26,78,47,48,3,0,16,0,6,6,166
2024-08-04 23:40:20,26,78,47,48,4,0,16,0,5,5,162
2024-08-04 23:45:20,26,78,47,48,3,0,16,0,5,5,164
2024-08-04 23:50:20,26,78,47,48,3,0,16,0,6,6,176
2024-08-04 23:55:20,26,78,47,48,3,0,17,0,6,6,178
2024-08-05 00:00:20,26,78,47,48,4,0,16,0,7,7,179
2024-08-05 00:05:19,26,78,47,48,6,0,16,0,7,7,178
2024-08-05 00:10:19,26,79,47,48,3,0,16,0,7,7,189
2024-08-05 00:15:19,26,79,47,48,3,0,17,0,6,6,186
2024-08-05 00:20:19,26,78,47,48,3,0,16,0,6,6,183
2024-08-05 00:25:19,26,79,47,48,3,0,17,0,7,7,200
2024-08-05 00:30:19,26,79,47,48,3,0,17,0,6,6,196
2024-08-05 00:35:19,26,79,47,48,3,0,17,0,7,7,191
2024-08-05 00:40:19,26,79,47,48,3,0,17,0,6,6,190
2024-08-05 00:45:19,26,79,47,48,4,0,17,0,6,6,210
2024-08-05 00:50:18,26,79,47,48,4,0,17,0,6,6,181
2024-08-05 00:55:18,26,79,47,48,3,0,17,0,7,7,187
2024-08-05 01:00:18,26,78,47,48,3,0,17,0,5,5,183
2024-08-05 01:05:18,26,78,47,48,3,0,17,0,5,5,174
2024-08-05 01:10:18,26,79,47,48,3,0,17,0,7,7,196
