Time,Tm,Rh,Na,Np,Li,H2s,Nh3,No2,Pm2,Pm10,Voc
2024-04-01 14:29:35,34,67,47,48,701,0,97,8,6,6,101
2024-04-01 14:35:47,34,68,52,195,702,8,115,7,6,7,100
2024-04-01 14:40:47,34,67,47,48,703,4,102,7,9,9,98
2024-04-01 14:45:47,34,69,47,48,704,0,125,6,6,7,107
2024-04-01 14:50:47,34,68,47,48,703,0,99,6,6,7,100
2024-04-01 14:55:46,34,67,47,49,702,1,105,5,6,7,102
2024-04-01 15:00:46,34,67,47,87,702,17,104,5,7,7,102
2024-04-01 15:05:46,34,67,54,177,701,0,151,5,9,9,102
2024-04-01 15:10:46,34,66,48,196,702,1,105,5,6,7,100
2024-04-01 15:15:46,34,67,47,48,702,0,103,5,6,7,101
2024-04-01 15:20:46,33,68,47,48,702,0,116,5,6,6,88
2024-04-01 15:25:46,33,68,47,48,702,0,126,5,7,7,106
2024-04-01 15:30:46,33,68,47,48,702,0,110,5,5,6,80
2024-04-01 15:35:46,33,67,47,67,702,0,113,5,7,8,84
2024-04-01 15:40:46,33,69,51,295,702,0,127,5,7,8,77
2024-04-01 15:45:45,34,67,47,63,702,0,110,4,5,6,59
2024-04-01 15:50:45,34,68,56,270,702,0,120,4,8,10,61
2024-04-01 15:55:45,34,68,50,112,703,0,123,4,8,11,73
2024-04-01 16:00:45,33,67,47,105,702,0,98,4,6,7,49
2024-04-01 16:05:45,33,68,47,97,702,0,132,4,8,9,54
2024-04-01 16:10:45,33,68,47,48,702,0,102,4,6,7,41
2024-04-01 16:15:45,33,70,50,292,702,1,119,4,7,9,42
2024-04-01 16:20:45,33,67,58,298,702,0,102,4,7,9,34
2024-04-01 16:25:44,33,70,48,107,702,0,116,4,8,9,34
2024-04-01 16:30:44,33,70,49,121,702,0,114,4,8,9,31
2024-04-01 16:35:44,33,69,47,61,702,0,105,4,6,7,30
2024-04-01 16:40:44,33,71,47,82,702,0,103,4,6,7,25
2024-04-01 16:45:44,33,70,47,76,702,0,99,4,6,7,22
2024-04-01 16:50:44,33,71,47,95,702,0,119,4,6,7,21
2024-04-01 16:55:44,32,71,47,107,703,0,100,4,6,6,20
2024-04-01 17:00:44,32,72,47,49,702,0,107,4,7,7,18
2024-04-01 17:05:44,32,73,47,67,702,0,98,4,6,6,17
2024-04-01 17:10:43,32,73,47,69,702,0,99,4,6,7,19
2024-04-01 17:15:43,32,73,51,289,702,0,119,4,7,8,19
2024-04-01 17:20:43,32,74,47,55,702,0,111,4,6,7,21
2024-04-01 17:25:43,32,74,47,48,702,0,111,4,7,7,19
2024-04-01 17:30:43,32,73,48,92,703,0,118,4,8,9,20
2024-04-01 17:35:43,32,73,47,83,702,0,102,4,7,7,19
2024-04-01 17:40:43,32,73,48,102,702,0,102,4,7,7,17
2024-04-01 17:45:43,32,75,54,126,702,0,109,4,8,9,17
2024-04-01 17:50:43,32,75,55,152,703,0,113,4,8,9,17
2024-04-01 17:55:43,32,74,51,162,702,0,98,4,7,8,17
2024-04-01 18:00:43,32,76,50,290,703,0,113,4,8,9,17
2024-04-01 18:05:43,32,75,48,174,704,0,113,4,7,7,16
2024-04-01 18:10:43,32,74,47,125,668,0,100,4,8,8,15
2024-04-01 18:15:42,32,75,48,104,591,0,103,4,7,7,15
2024-04-01 18:20:43,31,77,47,97,508,0,120,4,8,9,17
2024-04-01 18:25:42,31,78,47,71,425,0,128,4,9,9,16
2024-04-01 18:30:42,31,76,48,96,329,0,98,3,7,7,16
2024-04-01 18:35:42,31,78,47,79,230,0,120,4,10,12,18
2024-04-01 18:40:42,31,77,48,123,133,0,113,4,9,10,17
2024-04-01 18:45:42,31,78,50,163,58,0,114,3,9,9,18
2024-04-01 18:55:42,31,78,48,96,15,0,112,3,8,8,17
2024-04-01 19:00:42,31,77,48,108,4,0,103,3,7,7,14
2024-04-01 19:05:41,31,77,50,134,4,0,107,3,8,9,14
2024-04-01 19:10:41,31,79,51,203,25,0,131,4,12,14,14
2024-04-01 19:15:41,31,78,49,152,4,0,113,3,8,9,17
2024-04-01 19:20:41,31,77,47,93,25,0,102,3,6,6,14
2024-04-01 19:25:41,31,78,47,57,24,0,102,3,8,9,13
2024-04-01 19:30:41,30,78,47,48,4,0,104,3,7,7,12
2024-04-01 19:35:40,30,78,47,135,4,0,89,3,7,7,11
2024-04-01 19:40:40,30,78,48,228,4,0,97,3,6,6,11
2024-04-01 19:45:41,30,79,47,62,3,0,106,3,7,7,11
2024-04-01 19:50:40,30,78,47,49,4,0,88,3,5,5,11
2024-04-01 19:55:40,30,78,47,49,4,0,87,3,6,6,10
2024-04-01 20:00:40,30,79,47,48,4,0,89,3,7,7,9
2024-04-01 20:05:42,30,79,47,48,4,0,91,3,7,7,10
2024-04-01 20:10:40,30,79,47,61,3,0,83,3,6,6,10
2024-04-01 20:20:40,29,80,51,199,4,0,98,3,8,8,11
2024-04-01 20:25:40,29,80,50,91,3,0,97,3,10,11,11
2024-04-01 20:30:40,29,80,48,102,4,0,98,3,14,20,13
2024-04-01 20:35:40,29,79,49,95,24,0,85,3,10,13,12
2024-04-01 20:40:39,29,80,48,144,17,0,99,3,10,13,13
2024-04-01 20:45:39,29,80,47,115,24,0,85,3,8,9,12
2024-04-01 20:50:39,29,80,47,58,23,0,95,3,8,8,12
2024-04-01 21:00:39,29,81,47,49,23,0,95,3,8,8,12
2024-04-01 21:05:39,29,80,47,50,16,0,91,3,7,7,12
2024-04-01 21:10:39,29,80,47,48,21,0,91,3,6,6,13
2024-04-01 21:15:38,29,81,47,49,4,0,107,3,7,7,14
2024-04-01 21:25:38,29,80,47,50,3,0,92,3,7,7,13
2024-04-01 21:30:38,29,80,47,48,4,0,78,2,6,6,13
2024-04-01 21:35:38,29,80,47,50,4,0,86,3,7,7,13
2024-04-01 21:40:38,29,80,47,49,23,0,86,3,7,7,13
2024-04-01 21:45:38,29,80,47,50,4,0,83,3,8,8,13
2024-04-01 21:50:38,29,81,47,55,13,0,89,3,9,9,13
2024-04-01 21:55:37,29,80,47,48,14,0,75,2,8,8,13
2024-04-01 22:00:37,29,80,47,55,20,0,79,2,9,9,13
2024-04-01 22:00:42,29,80,47,55,20,0,79,2,9,9,13
2024-04-01 22:05:37,29,80,47,49,12,0,82,3,8,8,14
2024-04-01 22:10:37,29,81,47,51,2,0,93,3,8,8,16
2024-04-01 22:15:38,28,80,47,48,16,0,76,2,7,7,14
2024-04-01 22:20:37,28,80,47,48,5,0,80,2,7,7,15
2024-04-01 22:30:36,28,81,47,75,5,0,89,3,8,8,17
2024-04-01 22:35:36,28,79,47,48,22,0,76,2,8,8,17
2024-04-01 22:40:36,28,82,47,49,22,0,104,3,9,9,22
2024-04-01 22:45:36,28,80,47,48,4,0,86,2,8,8,19
2024-04-01 22:50:36,28,80,47,48,4,0,80,2,7,7,17
2024-04-01 22:55:36,28,80,47,48,23,0,76,2,7,7,16
2024-04-01 23:00:36,28,80,47,48,24,0,73,2,7,7,17
2024-04-01 23:05:36,28,80,47,48,4,0,80,2,8,8,18
2024-04-01 23:10:36,28,81,47,48,13,0,89,3,18,18,18
2024-04-01 23:15:35,28,82,47,48,4,0,100,3,10,10,20
2024-04-01 23:20:36,28,80,47,48,23,0,75,2,8,8,22
2024-04-01 23:25:35,28,80,47,48,23,0,82,2,9,9,20
2024-04-01 23:30:35,28,79,47,48,23,0,78,2,8,8,19
2024-04-01 23:35:35,28,80,47,48,23,0,82,2,8,8,20
2024-04-01 23:40:35,28,80,47,48,11,0,77,2,8,8,19
2024-04-01 23:45:35,28,80,47,48,20,0,78,2,7,7,19
2024-04-01 23:50:35,28,80,47,48,15,0,84,2,8,8,22
2024-04-01 23:55:35,28,80,47,48,4,0,73,2,7,7,20
2024-04-02 00:00:35,28,80,47,53,4,0,87,2,8,8,20
2024-04-02 00:05:35,28,79,47,52,7,0,79,2,8,8,20
2024-04-02 00:10:35,28,80,47,48,23,0,82,2,8,8,20
2024-04-02 00:15:35,28,79,47,48,3,0,77,2,9,9,19
