Time,Tm,Rh,Na,Np,Li,H2s,Nh3,No2,Pm2,Pm10,Voc
2024-07-07 17:41:15,27,79,53,70,51,0,13,0,7,7,81
2024-07-07 17:46:15,27,79,64,172,38,0,14,0,9,9,75
2024-07-07 17:51:15,27,80,60,139,38,0,13,0,9,9,53
2024-07-07 17:56:15,27,79,59,117,56,0,12,0,11,11,49
2024-07-07 18:01:15,26,78,47,91,71,0,13,0,11,11,37
2024-07-07 18:06:15,26,80,52,276,68,0,13,0,13,13,87
2024-07-07 18:11:15,26,80,47,94,45,0,12,0,13,14,44
2024-07-07 18:16:15,26,81,47,75,21,0,14,0,13,13,99
2024-07-07 18:21:15,26,81,47,48,30,0,14,0,12,12,77
2024-07-07 18:26:15,26,82,47,113,29,0,14,0,13,13,80
2024-07-07 18:31:15,26,82,47,86,12,0,15,0,12,12,121
2024-07-07 18:36:15,26,82,48,127,4,0,15,0,13,13,106
2024-07-07 18:41:15,26,83,48,158,3,0,15,0,13,13,129
2024-07-07 18:46:15,26,83,56,253,3,0,16,0,12,12,150
2024-07-07 18:51:15,26,83,57,265,4,0,15,0,14,14,109
2024-07-07 18:56:15,26,83,56,252,4,0,15,0,13,13,115
2024-07-07 19:01:15,26,83,50,158,4,0,15,0,12,12,129
2024-07-07 19:06:15,26,83,47,85,3,0,15,0,12,12,111
2024-07-07 19:11:14,26,84,48,102,4,0,16,0,13,13,169
2024-07-07 19:16:17,26,84,48,134,2,0,16,0,13,13,177
2024-07-07 19:21:14,26,84,48,89,3,0,16,0,12,12,173
2024-07-07 19:26:14,26,84,48,113,3,0,17,0,9,9,145
2024-07-07 19:26:19,26,84,48,113,3,0,17,0,9,9,145
2024-07-07 19:31:13,26,84,48,117,3,0,16,0,9,9,119
2024-07-07 19:36:14,26,83,47,60,2,0,15,0,8,8,128
2024-07-07 19:41:14,26,83,47,134,4,0,15,0,8,8,187
2024-07-07 19:46:14,26,83,48,103,4,0,18,0,8,8,192
2024-07-07 19:51:13,26,82,47,71,4,0,17,0,8,8,183
2024-07-07 19:56:13,26,83,47,89,4,0,16,0,7,7,142
2024-07-07 20:01:12,26,82,47,49,4,0,16,0,8,8,107
2024-07-07 20:06:13,26,83,47,63,3,0,17,0,8,8,144
2024-07-07 20:11:12,26,82,47,49,4,0,17,0,8,8,121
2024-07-07 20:16:13,26,82,47,50,4,0,17,0,8,8,153
2024-07-07 20:21:13,26,82,47,50,4,0,17,0,9,9,172
2024-07-07 20:26:12,26,83,47,129,3,0,17,0,8,8,195
2024-07-07 20:31:11,26,82,47,50,4,0,17,0,8,8,189
2024-07-07 20:31:19,26,82,47,50,4,0,17,0,8,8,189
2024-07-07 20:36:07,26,83,47,50,4,0,17,0,8,8,169
2024-07-07 20:41:07,26,83,47,50,3,0,16,0,7,7,161
2024-07-07 20:46:07,26,83,46,48,3,0,17,0,7,7,161
2024-07-07 20:46:11,26,83,46,48,3,0,17,0,7,7,161
2024-07-07 20:51:07,26,83,47,49,4,0,16,0,7,7,164
2024-07-07 20:56:06,26,83,47,48,4,0,17,0,7,8,186
2024-07-07 21:01:07,26,83,47,48,4,0,17,0,7,7,189
2024-07-07 21:01:11,26,83,47,48,4,0,17,0,7,7,189
2024-07-07 21:06:06,26,82,47,50,4,0,17,0,8,8,171
2024-07-07 21:11:06,26,83,47,51,4,0,17,0,7,7,164
2024-07-07 21:16:06,26,83,47,50,4,0,17,0,8,8,172
2024-07-07 21:21:06,26,83,47,50,4,0,18,0,6,6,195
2024-07-07 21:26:05,26,83,47,48,3,0,16,0,7,7,178
2024-07-07 21:31:05,26,84,47,49,3,0,16,0,7,7,182
2024-07-07 21:36:05,26,84,47,50,3,0,17,0,7,7,183
2024-07-07 21:41:04,26,84,47,57,4,0,18,0,7,7,185
2024-07-07 21:56:04,26,84,47,50,3,0,19,0,9,9,208
2024-07-07 22:01:05,26,84,47,50,4,0,18,0,9,9,196
2024-07-07 22:06:04,26,84,47,52,4,0,19,0,9,9,181
2024-07-07 22:11:04,26,84,47,48,4,0,19,0,10,10,157
2024-07-07 22:11:09,26,84,47,48,4,0,19,0,10,10,157
2024-07-07 22:16:03,26,84,47,50,3,0,18,0,10,10,136
2024-07-07 22:21:03,27,84,47,50,4,0,18,0,11,11,142
2024-07-07 22:21:07,27,84,47,50,4,0,18,0,11,11,142
2024-07-07 22:26:03,27,84,47,50,3,0,19,0,11,11,128
2024-07-07 22:31:02,27,84,47,48,3,0,18,0,12,12,117
2024-07-07 22:36:02,27,83,47,48,5,0,18,0,13,13,112
2024-07-07 22:41:02,27,83,47,48,3,0,18,0,13,13,111
2024-07-07 22:46:02,27,83,47,48,3,0,18,0,13,13,105
2024-07-07 22:51:02,27,84,47,48,4,0,17,0,13,13,105
2024-07-07 22:56:02,27,84,47,48,3,0,18,0,14,14,104
2024-07-07 23:01:02,27,83,47,48,2,0,17,0,14,14,105
2024-07-07 23:06:01,27,84,47,48,3,0,17,0,12,12,105
2024-07-07 23:11:01,27,84,47,48,3,0,18,0,14,14,109
2024-07-07 23:16:01,27,84,47,48,4,0,18,1,14,14,110
2024-07-07 23:21:01,27,84,47,48,3,0,18,1,13,13,112
2024-07-07 23:26:01,27,84,47,48,4,0,18,1,14,14,124
2024-07-07 23:31:01,27,84,47,48,4,0,19,1,14,14,132
2024-07-07 23:36:01,27,84,47,48,4,0,19,1,14,14,141
2024-07-07 23:41:01,27,84,47,48,4,0,20,1,13,13,153
2024-07-07 23:46:01,27,83,47,48,4,0,19,1,14,14,143
2024-07-07 23:51:00,27,83,47,48,3,0,19,1,14,14,137
2024-07-07 23:56:00,27,84,47,48,4,0,19,1,13,13,137
2024-07-08 00:01:00,27,83,47,48,4,0,19,1,12,12,134
2024-07-08 00:06:00,27,84,47,48,3,0,19,1,14,14,137
2024-07-08 00:11:00,27,84,47,48,4,0,19,1,14,14,134
2024-07-08 00:16:00,27,83,47,48,4,0,19,1,14,14,127
2024-07-08 00:21:00,27,83,47,48,3,0,19,1,14,14,126
2024-07-08 00:25:59,27,83,47,48,4,0,19,1,13,13,120
2024-07-08 00:30:59,27,83,47,48,3,0,19,1,13,13,146
2024-07-08 00:35:59,27,83,47,48,4,0,20,1,13,13,140
2024-07-08 00:40:59,27,83,47,48,4,0,20,1,12,12,143
2024-07-08 00:45:59,27,83,47,48,4,0,19,1,13,13,136
2024-07-08 00:50:59,27,83,47,48,4,0,20,1,14,14,140
2024-07-08 00:55:59,27,82,47,48,3,0,20,1,14,14,132
2024-07-08 01:00:59,27,83,47,48,4,0,20,1,15,15,138
2024-07-08 01:05:59,27,83,47,48,4,0,21,1,15,15,139
2024-07-08 01:10:58,27,83,47,48,3,0,20,1,13,13,146
2024-07-08 01:15:58,27,82,47,48,3,0,21,1,13,13,143
2024-07-08 01:20:58,27,83,47,48,4,0,21,1,15,15,147
2024-07-08 01:25:58,27,82,47,48,4,0,20,1,14,14,145
2024-07-08 01:30:58,27,82,47,48,3,0,20,1,15,15,141
2024-07-08 08:47:39,24,95,46,50,702,0,18,1,16,16,89
2024-07-08 08:52:39,24,94,47,48,702,0,16,1,13,13,93
2024-07-08 08:57:39,25,91,47,48,702,0,16,1,12,12,94
2024-07-08 09:02:38,25,91,47,48,703,0,13,1,12,12,101
2024-07-08 09:07:39,26,87,47,67,703,0,13,1,13,13,102
2024-07-08 09:12:38,26,87,47,53,703,0,13,1,12,12,125
2024-07-08 09:17:38,26,86,47,48,704,0,12,0,10,10,93
2024-07-08 09:22:38,26,85,47,48,703,0,12,0,11,11,98
2024-07-08 09:27:38,27,84,47,67,703,0,13,0,12,12,102
2024-07-08 09:32:38,27,82,49,87,703,0,12,0,11,11,98
2024-07-08 09:37:38,27,82,58,162,702,0,12,0,10,10,87
2024-07-08 09:42:38,27,80,48,191,703,0,11,0,11,11,76
2024-07-08 09:47:37,27,81,63,279,702,0,12,0,10,10,83
2024-07-08 09:52:37,27,80,47,75,703,0,12,0,10,10,154
2024-07-08 09:57:37,27,79,47,48,703,0,12,0,11,11,114
2024-07-08 10:02:37,28,79,47,48,702,0,13,0,10,10,125
2024-07-08 10:07:37,28,79,47,48,702,0,13,0,10,10,153
2024-07-08 10:12:37,28,78,47,109,702,0,13,0,10,10,166
2024-07-08 10:17:37,28,79,47,48,703,0,14,0,11,11,148
2024-07-08 10:22:36,28,77,47,48,703,0,12,0,11,11,198
2024-07-08 10:27:36,28,80,47,54,702,0,13,0,10,10,157
2024-07-08 10:32:36,28,76,47,80,703,0,12,0,11,11,180
2024-07-08 10:37:36,28,77,47,60,702,0,12,0,12,12,145
2024-07-08 10:42:36,28,79,47,48,701,0,13,0,10,10,162
2024-07-08 10:47:36,28,77,47,48,708,0,11,0,10,10,114
2024-07-08 10:52:36,29,75,47,48,701,0,12,0,11,11,126
2024-07-08 10:57:36,29,74,47,48,701,0,13,0,11,11,118
2024-07-08 11:02:35,29,73,47,52,703,0,12,0,10,10,108
2024-07-08 11:07:35,29,75,47,88,702,0,12,0,11,11,164
2024-07-08 11:12:35,29,74,47,63,702,0,12,0,9,9,137
2024-07-08 11:17:35,29,75,51,273,702,0,12,0,10,10,154
2024-07-08 11:22:35,29,74,50,277,702,0,13,0,12,12,164
2024-07-08 11:27:35,29,73,47,53,703,0,13,0,10,10,219
2024-07-08 11:32:35,29,74,47,48,702,0,12,0,8,8,119
2024-07-08 11:37:34,29,73,47,48,703,0,12,0,9,9,109
2024-07-08 11:42:34,29,74,47,48,702,0,12,0,10,10,121
2024-07-08 11:47:34,29,73,47,49,703,0,13,0,9,9,137
2024-07-08 11:52:34,29,72,47,66,701,0,12,0,10,10,166
2024-07-08 11:57:34,29,73,47,48,701,0,12,0,10,10,164
2024-07-08 12:02:34,29,74,47,56,702,0,13,0,11,11,203
2024-07-08 12:07:33,29,75,49,139,703,0,13,0,11,11,202
2024-07-08 12:10:56,29,75,47,74,702,0,14,0,10,10,171
2024-07-08 12:15:56,29,76,47,48,702,0,13,0,11,11,180
2024-07-08 12:20:55,29,75,47,48,702,0,13,0,12,12,221
2024-07-08 12:25:55,29,75,47,48,701,0,12,0,12,12,201
2024-07-08 12:30:55,29,76,47,48,702,0,13,0,12,12,224
2024-07-08 12:35:57,29,76,47,48,704,0,12,0,12,12,188
2024-07-08 12:40:55,29,76,47,75,703,0,13,0,11,11,211
2024-07-08 12:45:55,28,76,47,48,703,0,14,0,11,11,170
2024-07-08 12:50:54,29,78,47,56,702,0,15,0,11,11,198
2024-07-08 12:55:54,29,77,47,48,703,0,15,0,11,11,197
2024-07-08 13:00:54,29,75,47,54,703,0,15,0,11,11,175
2024-07-08 13:05:54,29,74,47,93,702,0,14,0,11,11,158
2024-07-08 13:10:54,29,75,47,48,703,0,15,0,11,11,171
2024-07-08 13:15:54,29,75,47,73,703,0,14,0,11,11,167
2024-07-08 13:20:53,29,74,47,48,703,0,14,0,11,11,153
2024-07-08 13:25:53,29,74,47,48,703,0,14,0,10,10,147
2024-07-08 13:30:53,29,72,47,48,703,0,13,0,12,12,150
2024-07-08 13:35:53,29,73,47,50,702,0,13,0,12,12,158
2024-07-08 13:40:53,29,73,47,48,703,0,13,0,12,12,136
2024-07-08 13:45:53,29,73,47,48,702,0,13,0,11,11,175
2024-07-08 13:50:53,29,73,47,61,702,0,13,0,11,11,134
2024-07-08 13:55:52,29,76,47,48,703,0,14,0,11,11,259
2024-07-08 14:00:52,29,73,47,48,702,0,13,0,10,10,129
2024-07-08 14:05:52,29,74,47,48,702,0,13,0,9,9,145
2024-07-08 14:10:52,29,74,47,48,702,0,14,0,10,10,168
2024-07-08 14:15:52,28,75,47,48,703,0,14,0,13,13,195
2024-07-08 14:20:52,28,75,47,48,703,0,14,0,10,10,149
2024-07-08 14:25:52,28,75,47,48,704,0,13,0,10,10,118
2024-07-08 14:30:51,28,78,47,61,704,0,14,0,9,9,170
2024-07-08 14:35:51,28,77,47,48,702,0,13,0,9,9,155
2024-07-08 14:40:51,28,78,47,77,702,0,14,0,10,10,269
2024-07-08 14:45:51,27,78,47,48,703,0,12,0,9,9,142
2024-07-08 14:50:51,27,79,47,62,703,0,12,0,10,10,113
2024-07-08 14:55:51,27,80,47,48,703,0,13,0,10,10,184
2024-07-08 15:00:51,27,80,47,48,702,0,13,0,10,10,111
2024-07-08 15:05:51,27,80,47,48,702,0,13,0,11,11,119
2024-07-08 15:10:51,27,81,47,48,702,0,13,0,12,12,132
2024-07-08 15:15:51,27,80,47,48,702,0,13,0,13,13,181
2024-07-08 15:20:50,27,81,47,48,702,0,13,0,12,12,145
2024-07-08 15:25:50,27,81,47,48,702,0,13,0,11,11,137
2024-07-08 15:30:50,27,81,47,48,703,0,14,0,11,11,160
2024-07-08 15:35:50,27,80,47,48,703,0,13,0,12,12,161
2024-07-08 15:40:50,27,81,47,52,703,0,13,0,11,11,266
2024-07-08 15:45:50,27,81,47,48,703,0,14,0,10,10,211
2024-07-08 15:50:49,27,79,47,48,703,0,13,0,10,10,102
2024-07-08 15:55:49,27,80,47,48,703,0,14,0,11,11,134
2024-07-08 16:00:49,27,80,47,48,703,0,14,0,10,10,224
2024-07-08 16:05:49,27,80,47,53,703,0,14,0,11,11,225
2024-07-08 16:10:49,27,81,47,48,703,0,15,0,10,10,217
2024-07-08 16:15:48,27,79,47,50,703,0,14,0,9,9,128
2024-07-08 16:20:48,28,78,47,48,702,0,15,0,10,10,180
2024-07-08 16:30:48,28,80,50,211,706,0,14,0,11,11,173
2024-07-08 16:35:48,28,79,48,245,703,0,15,0,11,11,180
2024-07-08 16:40:48,28,78,49,221,703,0,15,0,10,10,180
2024-07-08 16:45:48,28,76,47,74,702,0,15,0,11,11,138
2024-07-08 16:50:48,28,79,51,249,703,0,15,0,11,11,175
2024-07-08 16:55:47,28,80,47,66,703,0,15,0,11,11,184
2024-07-08 17:05:47,28,80,47,50,703,0,16,0,11,11,239
2024-07-08 17:10:47,28,79,47,48,702,0,15,0,12,12,185
2024-07-08 17:15:47,28,79,47,51,703,0,15,0,11,11,206
2024-07-08 17:20:46,28,79,47,48,706,0,16,0,11,11,211
2024-07-08 17:25:46,28,80,47,48,703,0,16,1,11,11,183
2024-07-08 17:30:46,28,80,47,54,702,0,16,0,11,11,179
2024-07-08 17:35:46,28,80,47,58,701,0,16,0,12,12,202
2024-07-08 17:40:46,28,81,47,50,703,0,16,0,11,11,195
2024-07-08 17:45:47,28,81,48,159,703,0,16,1,14,14,304
2024-07-08 18:10:46,28,80,47,50,704,0,16,0,18,18,224
2024-07-08 18:25:46,27,80,47,49,620,0,16,0,11,11,190
2024-07-08 18:30:45,27,80,47,48,494,0,17,0,22,22,363
2024-07-08 18:35:45,27,80,47,48,374,0,16,0,11,11,207
