Time,Tm,Rh,Na,Np,Li,H2s,Nh3,No2,Pm2,Pm10,Voc
2024-04-08 18:22:23,32,71,47,48,702,0,79,3,6,6,76
2024-04-08 18:27:23,32,72,47,51,702,0,82,3,7,8,113
2024-04-08 18:32:22,31,72,47,48,664,0,83,3,7,8,69
2024-04-08 18:37:22,31,75,47,49,376,0,103,3,8,9,211
2024-04-08 18:42:22,31,73,47,58,222,0,83,3,6,6,73
2024-04-08 18:47:22,31,72,47,48,164,0,87,3,10,11,97
2024-04-08 18:52:21,31,73,47,60,82,0,86,3,7,7,96
2024-04-08 18:57:21,31,73,47,49,38,0,90,3,8,8,122
2024-04-08 19:02:21,31,73,47,52,29,0,81,3,7,7,65
2024-04-08 19:07:21,30,74,47,48,10,0,82,2,8,8,63
2024-04-08 19:12:21,30,76,48,97,22,1,93,3,9,10,137
2024-04-08 19:17:21,30,77,47,48,13,0,93,3,9,9,115
2024-04-08 19:22:21,30,77,47,48,24,0,85,3,9,9,101
2024-04-08 19:27:20,30,76,47,73,3,0,82,3,8,8,64
2024-04-08 19:32:20,30,76,47,48,4,0,83,2,8,8,66
2024-04-08 19:37:20,30,78,47,49,3,0,85,3,8,9,70
2024-04-08 19:42:20,30,77,47,48,13,0,86,3,9,9,85
2024-04-08 19:47:20,30,78,47,48,24,0,95,3,10,11,181
2024-04-08 19:52:20,30,78,48,156,24,0,88,3,9,10,115
2024-04-08 19:57:19,30,78,47,50,4,0,90,3,8,9,116
2024-04-08 20:02:19,30,77,47,49,23,0,81,2,8,8,73
2024-04-08 20:07:20,30,78,47,49,20,0,90,3,8,8,88
2024-04-08 20:12:18,30,78,47,51,20,0,91,3,9,10,102
2024-04-08 20:17:18,30,78,47,55,19,0,89,3,9,9,95
2024-04-08 20:22:18,29,77,47,50,22,0,81,2,7,7,80
2024-04-08 20:27:18,29,78,47,52,23,0,84,2,8,8,73
2024-04-08 20:32:17,29,78,47,50,21,0,81,2,8,8,62
2024-04-08 20:37:17,29,78,47,51,4,0,80,2,8,8,57
2024-04-08 20:42:17,29,78,48,96,17,0,78,2,7,7,51
2024-04-08 20:47:17,29,79,48,53,22,0,84,2,7,8,77
2024-04-08 20:52:17,29,78,49,56,4,0,75,2,8,8,40
2024-04-08 20:57:17,29,79,48,54,24,0,83,2,9,9,75
2024-04-08 21:02:16,29,80,49,56,24,0,88,3,9,9,85
2024-04-08 21:07:16,29,79,49,55,16,0,75,2,7,7,41
2024-04-08 21:12:16,29,79,50,55,24,0,76,2,9,9,55
2024-04-08 21:17:16,29,79,49,57,17,0,71,2,7,7,40
2024-04-08 21:22:16,29,81,50,57,24,0,84,2,9,9,70
2024-04-08 21:27:16,29,79,49,55,4,0,74,2,9,9,42
2024-04-08 21:32:16,29,79,48,55,23,0,72,2,8,8,38
2024-04-08 21:37:16,29,80,48,55,23,0,83,2,8,8,70
2024-04-08 21:42:16,29,79,49,56,4,0,75,2,7,7,45
2024-04-08 21:47:15,29,79,48,53,8,0,65,2,8,8,27
2024-04-08 21:52:16,28,81,48,52,24,0,77,2,8,8,49
2024-04-08 21:57:15,28,80,47,51,3,0,80,2,7,7,69
2024-04-08 22:02:15,28,80,47,51,4,0,77,2,9,9,58
2024-04-08 22:07:14,28,78,47,51,23,0,60,2,8,8,22
2024-04-08 22:12:14,28,81,47,51,24,0,74,2,10,10,40
2024-04-08 22:17:14,28,80,47,54,6,0,66,2,9,9,30
2024-04-08 22:22:15,28,80,47,50,12,0,75,2,8,8,49
2024-04-08 22:27:14,28,81,47,48,20,0,78,2,8,8,57
2024-04-08 22:32:14,28,81,47,54,22,0,76,2,8,8,53
2024-04-08 22:37:14,28,81,47,48,4,0,77,2,8,8,45
2024-04-08 22:42:13,28,82,47,48,10,0,80,2,8,8,71
2024-04-08 22:47:13,28,80,47,48,19,0,76,2,9,9,41
2024-04-08 22:52:13,28,81,47,48,21,0,72,2,9,9,33
2024-04-08 22:57:13,28,80,47,48,3,0,65,2,8,8,24
2024-04-08 23:02:13,28,81,47,48,12,0,73,2,9,9,41
2024-04-08 23:07:13,28,80,47,53,13,0,73,2,7,7,48
2024-04-08 23:12:13,28,81,47,48,12,0,80,2,8,8,73
2024-04-08 23:17:12,28,80,47,84,4,0,71,2,7,7,34
2024-04-08 23:22:12,28,80,47,48,19,0,71,2,7,7,42
2024-04-08 23:27:12,28,81,47,50,21,0,74,2,7,7,39
2024-04-08 23:32:12,28,81,47,48,22,0,80,3,7,7,89
2024-04-08 23:37:12,28,80,47,48,4,0,73,2,7,7,65
2024-04-08 23:42:12,28,82,47,48,4,0,84,2,7,7,78
2024-04-08 23:47:12,28,81,47,48,12,0,78,2,7,7,51
2024-04-08 23:52:12,28,80,47,48,8,0,80,2,7,7,81
2024-04-08 23:57:12,28,79,47,48,14,0,73,2,8,8,51
2024-04-09 00:02:11,28,81,47,48,3,0,73,2,6,7,39
2024-04-09 00:07:11,28,81,47,49,12,0,81,2,7,8,77
2024-04-09 00:12:11,28,79,47,48,23,0,77,2,7,8,56
2024-04-09 00:17:11,28,80,47,48,23,0,81,2,6,6,66
2024-04-09 00:22:11,28,79,47,48,17,0,69,2,5,5,35
2024-04-09 00:27:11,28,79,47,48,3,0,64,2,6,6,27
2024-04-09 00:32:11,28,79,47,48,21,0,65,2,5,5,33
2024-04-09 00:37:10,28,80,47,53,16,0,68,2,6,7,39
2024-04-09 00:42:10,28,81,47,48,4,0,73,2,6,6,37
2024-04-09 00:47:10,28,79,47,48,4,0,66,2,7,8,57
2024-04-09 00:52:10,27,80,47,76,22,0,65,2,7,7,29
2024-04-09 00:57:10,27,82,47,50,23,0,77,2,9,10,89
2024-04-09 01:02:10,27,80,47,48,13,0,68,2,6,6,29
2024-04-09 01:07:10,27,80,47,48,22,0,74,2,5,6,56
2024-04-09 01:12:10,27,79,47,49,8,0,61,2,6,6,23
2024-04-09 01:17:10,27,81,47,51,23,0,68,2,6,6,44
2024-04-09 01:22:10,27,80,47,48,22,0,68,2,6,6,40
2024-04-09 01:27:10,27,83,47,48,4,0,72,2,6,6,47
2024-04-09 01:32:09,27,82,47,49,20,0,75,2,6,7,65
2024-04-09 01:37:10,27,80,47,48,11,0,71,2,7,8,57
2024-04-09 01:42:09,27,80,47,48,6,0,71,2,7,8,38
2024-04-09 01:47:09,27,81,47,48,23,0,72,2,6,7,39
2024-04-09 01:52:09,27,82,47,48,14,0,76,2,5,5,71
2024-04-09 01:57:09,27,82,47,53,22,0,79,2,6,7,69
2024-04-09 02:02:09,27,80,47,48,4,0,73,2,6,7,42
2024-04-09 02:07:09,27,80,47,48,22,0,62,2,7,8,28
2024-04-09 02:12:08,27,79,47,48,4,0,59,2,6,7,26
2024-04-09 02:17:08,27,81,47,48,3,0,69,2,7,8,74
2024-04-09 02:22:08,27,80,47,48,17,0,67,2,6,7,36
2024-04-09 02:27:08,27,81,47,48,4,0,64,2,6,7,32
2024-04-09 02:32:08,27,81,47,48,22,0,62,2,5,6,30
2024-04-09 02:37:08,27,81,47,48,23,0,71,2,6,7,81
2024-04-09 02:42:08,27,83,47,48,21,0,79,2,7,8,93
2024-04-09 02:47:08,27,81,47,49,4,0,72,2,7,9,58
2024-04-09 02:52:07,27,80,47,49,23,0,62,2,7,8,25
2024-04-09 02:57:07,27,80,47,48,13,0,60,2,7,7,27
2024-04-09 03:02:07,27,82,47,48,21,0,69,2,8,8,48
2024-04-09 03:07:07,27,81,47,48,23,0,75,2,6,6,87
2024-04-09 03:12:07,27,81,47,48,21,0,68,2,6,6,38
2024-04-09 03:17:07,27,81,47,48,3,0,65,2,7,7,34
2024-04-09 03:22:07,27,82,47,49,4,0,77,2,6,7,83
2024-04-09 03:27:06,27,82,47,50,21,0,74,2,8,9,55
2024-04-09 03:32:06,27,80,47,57,4,0,60,2,7,7,28
2024-04-09 03:37:06,27,80,47,48,23,0,63,2,7,8,36
2024-04-09 03:42:06,27,81,47,48,14,0,63,2,7,7,45
2024-04-09 03:47:06,27,81,47,49,15,0,62,2,7,7,53
2024-04-09 03:52:06,27,80,47,48,3,0,62,2,7,7,41
2024-04-09 03:57:06,27,81,47,49,4,0,69,2,9,9,62
2024-04-09 04:02:06,27,82,47,68,3,0,68,2,9,10,61
2024-04-09 04:07:06,27,82,47,48,5,0,70,2,9,9,62
2024-04-09 04:12:06,27,81,47,49,22,0,67,2,8,8,44
2024-04-09 04:17:06,27,81,47,52,21,0,69,2,8,8,50
2024-04-09 04:22:06,27,81,47,48,12,0,68,2,8,8,50
2024-04-09 04:27:05,27,82,47,48,23,0,74,2,9,9,63
2024-04-09 04:32:05,27,80,47,48,16,0,69,2,10,10,54
2024-04-09 04:37:05,27,82,47,48,4,0,73,2,9,10,69
2024-04-09 04:42:05,27,81,47,55,21,0,70,2,8,9,70
2024-04-09 04:47:05,27,82,47,48,3,0,69,2,10,10,68
2024-04-09 04:52:05,27,83,47,48,11,0,73,2,10,10,103
2024-04-09 04:57:05,27,84,47,48,19,0,69,2,9,10,73
2024-04-09 05:02:05,27,82,47,102,11,0,66,2,11,11,48
2024-04-09 05:07:04,27,83,47,49,22,0,68,2,10,10,81
2024-04-09 05:12:04,27,83,47,48,13,0,69,2,12,12,85
2024-04-09 05:17:04,27,82,47,48,8,0,65,2,11,11,48
2024-04-09 05:22:04,27,83,47,61,16,0,67,2,12,12,85
2024-04-09 05:27:04,27,82,47,48,23,0,63,2,12,12,61
2024-04-09 05:32:04,27,83,47,48,4,0,67,2,12,12,56
2024-04-09 05:37:04,27,83,47,48,12,0,67,2,12,12,54
2024-04-09 05:42:04,27,84,47,48,22,0,77,2,12,12,123
2024-04-09 05:47:04,27,83,48,143,4,0,75,2,13,15,104
2024-04-09 05:52:04,28,84,47,49,22,0,71,2,11,11,68
2024-04-09 05:57:04,28,84,47,49,18,0,73,2,11,11,102
2024-04-09 06:02:03,28,82,47,48,22,0,70,2,9,9,74
2024-04-09 06:07:03,28,82,47,67,23,0,67,2,10,10,81
2024-04-09 06:12:03,28,84,47,49,8,0,75,2,14,14,111
2024-04-09 06:17:03,28,82,47,48,23,0,70,2,11,11,71
2024-04-09 06:22:03,28,82,47,49,23,0,69,2,11,11,75
2024-04-09 06:27:03,28,82,47,48,23,0,68,2,10,10,52
2024-04-09 06:32:03,28,82,48,193,23,0,66,2,11,11,54
2024-04-09 06:37:03,28,82,47,90,32,0,70,2,12,13,82
2024-04-09 06:42:03,28,82,47,86,63,0,67,2,12,12,83
2024-04-09 06:47:03,28,81,47,57,137,0,70,2,12,12,64
2024-04-09 06:52:03,28,82,47,91,190,0,70,2,15,16,66
2024-04-09 06:57:03,28,82,49,266,309,0,76,2,13,14,109
2024-04-09 07:02:02,28,82,47,48,388,0,71,2,14,15,71
2024-04-09 07:07:03,28,82,48,150,420,0,69,2,12,12,62
2024-04-09 07:12:03,28,82,47,143,501,0,68,2,13,13,68
2024-04-09 07:17:02,28,82,47,61,563,0,73,2,12,12,150
2024-04-09 07:22:02,28,83,47,77,702,0,76,2,16,16,129
2024-04-09 07:27:02,28,83,47,83,703,0,77,2,18,18,143
2024-04-09 07:32:02,28,84,65,222,703,0,78,2,16,19,121
2024-04-09 07:37:02,28,82,59,217,702,0,66,2,11,11,76
2024-04-09 07:42:02,28,82,52,300,702,0,68,2,11,11,76
2024-04-09 07:47:02,28,82,55,295,702,0,68,2,10,10,66
2024-04-09 07:52:02,28,82,47,61,706,0,66,2,8,8,72
2024-04-09 07:57:02,28,82,47,58,702,0,66,2,8,8,74
2024-04-09 08:02:01,28,82,47,66,703,0,68,2,10,10,67
2024-04-09 08:07:02,28,83,47,97,702,0,70,2,13,13,75
2024-04-09 08:12:02,28,83,47,67,702,0,73,2,15,17,88
2024-04-09 08:17:01,28,83,48,92,702,0,71,2,12,13,109
2024-04-09 08:22:01,28,83,51,260,703,0,74,2,10,10,124
2024-04-09 08:27:01,28,84,51,287,701,0,80,2,14,14,158
