Time,Tm,Rh,Na,Np,Li,H2s,Nh3,No2,Pm2,Pm10,Voc
2024-05-13 06:21:56,28,78,46,83,48,0,67,1,10,10,80
2024-05-13 06:26:57,28,79,46,92,69,0,74,1,10,10,118
2024-05-13 06:31:58,28,79,48,157,150,1,69,1,16,16,142
2024-05-13 06:36:58,28,78,47,155,253,0,65,1,37,37,69
2024-05-13 06:41:59,28,77,47,86,379,0,64,1,11,11,53
2024-05-13 06:47:00,28,78,46,67,524,0,69,1,9,9,71
2024-05-13 06:52:00,28,77,46,70,684,0,60,1,9,9,39
2024-05-13 06:57:01,28,78,46,76,698,0,68,1,9,9,83
2024-05-13 07:02:02,28,79,46,74,698,1,70,1,9,10,81
2024-05-13 07:07:03,28,79,46,66,698,0,70,1,10,10,103
2024-05-13 07:12:03,28,79,46,90,698,0,70,1,9,9,89
2024-05-13 07:17:04,28,78,47,111,698,0,67,1,9,9,92
2024-05-13 07:22:05,28,80,47,93,698,1,76,1,16,18,167
2024-05-13 07:27:05,28,80,48,120,697,0,73,1,22,22,127
2024-05-13 07:32:06,28,79,46,62,698,0,67,1,9,9,70
2024-05-13 07:37:07,29,80,46,83,697,0,75,1,14,14,210
2024-05-13 07:42:08,29,78,48,232,697,0,58,1,13,13,65
2024-05-13 07:47:09,29,79,46,82,698,1,70,1,19,19,214
2024-05-13 07:52:09,29,79,46,101,698,0,77,1,25,25,176
2024-05-13 07:57:10,29,80,46,98,697,1,75,1,26,26,253
2024-05-13 08:02:10,29,79,46,91,697,1,83,1,30,30,268
2024-05-13 08:07:11,29,78,46,95,697,1,79,1,38,38,286
2024-05-13 08:12:12,30,78,46,85,697,1,72,1,38,38,224
2024-05-13 08:17:13,30,80,50,103,698,0,80,1,51,51,288
2024-05-13 08:22:13,30,78,50,133,697,1,85,1,40,40,323
2024-05-13 08:27:14,30,77,50,126,698,1,78,1,65,65,245
2024-05-13 08:32:15,31,76,58,162,697,0,75,1,54,54,206
2024-05-13 08:37:16,31,76,54,224,698,0,77,1,118,118,247
2024-05-13 08:42:16,31,74,48,154,697,0,69,1,27,27,177
2024-05-13 08:47:17,31,76,48,180,698,0,75,1,25,25,234
2024-05-13 08:52:18,31,73,46,61,697,1,67,1,21,21,135
2024-05-13 08:57:19,32,74,59,139,697,0,84,1,64,64,206
2024-05-13 09:02:20,32,72,54,204,697,0,81,1,55,55,149
2024-05-13 09:07:21,32,73,52,190,697,1,90,1,24,24,298
2024-05-13 09:12:22,32,71,51,131,697,1,83,1,16,16,210
2024-05-13 09:17:23,33,72,47,122,697,0,85,1,17,17,241
2024-05-13 09:22:23,33,71,48,118,697,1,82,1,13,13,228
2024-05-13 09:27:24,33,70,78,342,697,0,90,1,482,482,292
2024-05-13 09:32:25,33,69,70,393,698,0,78,1,14,14,206
2024-05-13 09:37:26,33,66,50,164,697,14,70,1,11,11,114
2024-05-13 09:42:27,33,67,50,172,697,0,73,1,11,11,112
2024-05-13 09:47:28,33,66,51,218,697,0,69,1,10,10,85
2024-05-13 09:52:28,33,66,50,184,697,0,77,1,9,10,161
2024-05-13 09:57:29,33,68,54,194,697,1,73,1,15,15,118
2024-05-13 10:02:30,33,66,68,287,697,0,73,1,13,13,159
2024-05-13 10:07:31,33,68,63,245,697,1,79,1,9,9,161
2024-05-13 10:12:32,33,65,50,224,696,0,71,1,7,8,185
2024-05-13 10:17:33,33,65,46,79,697,0,70,1,8,8,111
2024-05-13 10:22:34,33,65,46,50,697,0,70,1,7,7,66
2024-05-13 10:27:35,33,65,46,68,697,0,79,1,7,7,143
2024-05-13 10:32:35,33,64,46,92,697,1,77,1,7,8,110
2024-05-13 10:37:36,34,69,46,55,697,1,82,1,7,7,243
2024-05-13 10:42:38,34,64,46,51,697,1,72,1,7,7,102
2024-05-13 10:47:38,34,65,46,67,697,0,71,1,6,6,85
2024-05-13 10:52:39,34,65,46,111,698,0,77,1,8,8,137
2024-05-13 10:57:40,34,63,46,89,697,0,71,1,6,6,80
2024-05-13 11:02:41,34,65,46,53,697,0,72,1,6,6,92
2024-05-13 11:07:42,34,63,46,72,697,1,73,1,7,7,104
2024-05-13 11:12:45,34,65,46,70,697,8,75,1,6,6,115
2024-05-13 11:17:43,34,66,46,66,696,1,85,1,6,6,193
2024-05-13 11:22:45,34,62,47,162,697,4,76,1,5,5,123
2024-05-13 11:27:45,34,63,46,49,696,0,74,1,5,5,93
2024-05-13 11:32:46,34,60,46,47,697,0,71,1,5,5,57
2024-05-13 11:37:50,34,62,46,52,697,0,77,1,5,6,176
2024-05-13 11:42:48,34,61,46,47,697,0,80,1,6,6,108
2024-05-13 11:47:49,34,63,46,83,697,0,83,1,5,6,97
2024-05-13 11:52:50,34,61,48,270,697,1,78,1,4,4,85
2024-05-13 11:57:51,34,63,46,48,697,1,80,1,6,6,202
2024-05-13 12:02:51,34,59,46,137,696,1,76,1,5,5,84
2024-05-13 12:07:52,35,58,46,141,697,0,66,1,4,4,73
2024-05-13 12:12:54,35,58,46,72,696,1,73,1,4,5,82
2024-05-13 12:17:54,35,59,46,98,696,1,79,1,5,5,119
2024-05-13 12:22:55,35,57,49,249,696,0,66,1,4,4,133
2024-05-13 12:27:56,35,62,47,83,697,0,87,1,5,5,218
2024-05-13 12:32:57,35,59,47,111,696,1,78,1,5,5,182
2024-05-13 12:37:58,35,55,46,53,696,0,74,1,4,5,68
2024-05-13 12:42:59,35,54,46,68,698,0,69,1,4,5,80
2024-05-13 12:48:00,36,54,46,52,703,1,77,1,6,6,90
2024-05-13 12:53:01,36,55,60,271,696,0,69,1,159,164,104
2024-05-13 12:58:01,36,55,61,227,696,0,68,1,9,9,105
2024-05-13 13:03:02,36,56,46,59,696,1,71,1,5,5,102
2024-05-13 13:08:03,36,55,46,87,695,4,70,1,4,5,126
2024-05-13 13:13:04,36,51,46,47,695,0,71,1,4,4,105
2024-05-13 13:18:05,36,55,46,54,696,0,84,1,4,4,229
2024-05-13 13:23:06,37,51,46,87,696,1,72,1,3,3,155
2024-05-13 13:28:07,37,54,46,52,696,1,81,1,4,5,159
2024-05-13 13:33:08,37,53,46,69,697,1,69,1,5,5,100
2024-05-13 13:38:09,37,53,47,161,696,8,72,1,4,4,120
2024-05-13 13:43:10,37,53,46,49,697,0,73,1,5,5,144
2024-05-13 13:48:11,37,53,46,162,697,1,76,1,7,7,183
2024-05-13 13:53:12,37,56,47,107,696,1,90,1,7,7,210
2024-05-13 13:58:13,37,52,46,83,696,0,75,1,5,5,101
2024-05-13 14:03:14,37,53,46,66,697,0,71,1,4,4,130
2024-05-13 14:08:15,37,51,46,66,696,4,74,1,6,6,128
2024-05-13 14:13:16,37,52,46,48,696,0,73,1,5,5,127
2024-05-13 14:18:17,37,51,46,51,696,1,78,1,6,6,144
2024-05-13 14:23:18,37,51,46,48,697,1,77,1,6,6,190
2024-05-13 14:28:19,37,49,46,69,696,1,70,1,4,4,126
2024-05-13 14:33:20,37,51,46,95,696,1,81,1,6,6,183
2024-05-13 14:38:23,37,49,46,60,696,1,66,1,5,5,144
2024-05-13 14:43:22,37,52,46,47,696,4,82,1,4,4,188
2024-05-13 14:48:23,37,51,46,57,696,1,77,1,5,5,166
2024-05-13 14:53:24,37,49,46,48,697,1,75,1,4,4,162
2024-05-13 14:58:25,37,53,46,56,696,0,72,1,4,5,155
2024-05-13 15:03:26,37,50,46,95,696,1,76,1,4,5,185
2024-05-13 15:08:27,37,51,66,291,696,1,79,1,6,7,271
2024-05-13 15:13:28,37,49,65,245,696,4,85,1,252,252,243
2024-05-13 15:18:29,37,48,59,260,701,0,74,1,4,4,143
2024-05-13 15:23:30,38,48,47,205,695,0,68,1,5,5,81
2024-05-13 15:28:31,38,47,46,65,695,1,67,1,4,4,101
2024-05-13 15:33:32,38,49,46,47,696,1,69,1,4,4,137
