Time,Tm,Rh,Na,Np,Li,H2s,Nh3,No2,Pm2,Pm10,Voc
2024-05-13 06:22:45,26,82,47,48,24,0,30,0,10,10,88
2024-05-13 06:27:44,26,82,47,48,49,0,30,0,10,10,80
2024-05-13 06:32:44,26,82,47,48,116,0,30,0,12,12,81
2024-05-13 06:37:44,26,83,47,48,201,0,30,0,12,12,82
2024-05-13 06:42:44,26,82,47,48,307,0,30,0,12,12,82
2024-05-13 06:47:44,26,82,47,48,429,0,29,0,12,12,72
2024-05-13 06:52:44,26,82,47,48,567,0,29,0,10,10,64
2024-05-13 06:57:43,26,82,47,48,703,0,29,0,10,10,63
2024-05-13 07:02:43,26,83,47,48,704,0,30,0,11,11,67
2024-05-13 07:07:43,26,83,47,48,703,0,30,0,13,13,83
2024-05-13 07:12:43,26,84,47,48,704,0,30,0,15,15,80
2024-05-13 07:17:43,26,84,47,48,704,0,30,1,13,13,94
2024-05-13 07:22:43,26,84,47,48,703,0,30,1,18,18,110
2024-05-13 07:27:43,26,85,47,48,703,0,30,1,16,16,122
2024-05-13 07:32:43,26,85,47,48,704,0,30,1,16,16,148
2024-05-13 07:37:43,26,85,47,48,704,0,30,1,22,22,174
2024-05-13 07:42:42,26,85,47,50,704,0,30,1,25,25,271
2024-05-13 07:47:42,26,85,47,48,703,0,31,1,25,25,263
2024-05-13 07:52:43,26,85,47,48,703,0,32,1,28,28,273
2024-05-13 07:57:42,27,85,47,49,704,0,32,1,32,32,304
2024-05-13 08:02:42,27,85,47,48,704,0,32,1,33,33,301
2024-05-13 08:07:42,27,85,47,48,704,0,32,1,40,40,397
2024-05-13 08:12:42,27,84,47,48,704,0,32,1,50,50,433
2024-05-13 08:17:42,27,84,47,48,704,0,32,1,44,44,414
2024-05-13 08:22:42,27,84,47,63,705,0,33,1,39,39,405
2024-05-13 08:27:42,27,83,47,48,703,0,33,1,42,42,413
2024-05-13 08:32:41,28,83,47,48,703,0,33,1,41,41,411
2024-05-13 08:37:41,28,82,48,172,703,0,32,1,41,41,407
