Time,Tm,Rh,Na,Np,Li,H2s,Nh3,No2,Pm2,Pm10,Voc
2024-05-07 02:56:32,25,82,47,48,3,0,26,1,8,8,38
2024-05-07 03:01:32,25,82,47,48,3,0,26,1,8,8,42
2024-05-07 03:06:32,25,83,47,48,4,0,26,1,7,7,42
2024-05-07 03:11:32,25,82,47,48,3,0,26,1,7,7,43
2024-05-07 03:16:32,25,82,47,48,3,0,27,1,8,8,42
2024-05-07 03:21:32,25,82,47,48,3,0,27,1,8,8,45
2024-05-07 03:26:32,25,82,47,48,3,0,27,1,8,8,48
2024-05-07 03:31:32,25,81,47,48,4,0,25,1,8,8,48
2024-05-07 03:36:32,25,81,47,48,3,0,25,1,8,8,44
2024-05-07 03:41:32,25,81,47,48,4,0,24,1,7,7,41
2024-05-07 03:46:32,25,81,47,48,3,0,25,1,8,8,41
2024-05-07 03:51:31,25,81,47,48,4,0,25,1,8,8,43
2024-05-07 03:56:31,25,81,47,48,4,0,25,1,9,9,43
2024-05-07 04:01:31,25,81,47,48,3,0,26,1,8,8,46
2024-05-07 04:06:31,25,82,47,48,4,0,26,1,10,10,55
2024-05-07 04:11:31,25,81,47,48,3,0,25,1,10,10,55
2024-05-07 04:16:31,25,82,47,48,4,0,26,1,10,10,58
2024-05-07 04:21:31,25,82,47,48,3,0,26,1,9,9,55
2024-05-07 04:26:31,25,81,47,48,4,0,25,1,8,8,46
2024-05-07 04:31:31,25,81,47,48,3,0,26,1,7,7,46
2024-05-07 04:36:31,25,82,47,48,4,0,26,1,8,8,47
2024-05-07 04:41:30,25,82,47,48,3,0,27,1,8,8,52
2024-05-07 04:46:31,25,81,47,48,3,0,27,1,8,8,52
2024-05-07 04:51:30,25,81,47,48,4,0,26,1,7,7,48
2024-05-07 04:56:30,25,81,47,48,3,0,25,1,8,8,46
2024-05-07 05:01:30,25,81,47,48,3,0,25,1,7,7,45
2024-05-07 05:06:30,25,82,47,48,3,0,26,1,7,7,50
2024-05-07 05:11:30,25,81,47,48,3,1,24,1,7,7,53
2024-05-07 05:16:30,25,81,47,48,3,0,26,1,7,7,52
2024-05-07 05:21:30,25,81,47,48,3,0,26,1,7,7,51
2024-05-07 05:26:30,25,81,47,48,4,0,25,1,7,7,48
2024-05-07 05:31:30,25,81,47,48,3,0,26,1,8,8,47
2024-05-07 05:36:30,25,82,47,48,3,0,26,1,8,8,48
2024-05-07 05:41:30,25,81,47,71,4,0,26,1,8,8,50
2024-05-07 05:46:30,25,81,47,83,4,0,25,1,8,8,49
2024-05-07 05:51:30,25,82,47,48,3,0,25,1,8,8,48
2024-05-07 05:56:30,25,82,47,48,3,0,26,1,8,8,48
2024-05-07 06:01:29,24,81,47,48,3,0,25,1,6,6,46
2024-05-07 06:06:29,24,81,47,48,3,0,25,1,7,7,44
2024-05-07 06:11:29,24,81,47,48,5,0,25,1,7,7,42
2024-05-07 06:16:29,24,82,47,48,3,0,25,1,8,8,44
2024-05-07 06:21:29,24,82,47,48,12,0,25,1,7,7,54
2024-05-07 06:26:29,24,82,47,48,24,0,26,1,8,8,55
2024-05-07 06:31:30,24,82,47,48,80,0,26,1,7,7,55
2024-05-07 06:36:29,24,81,47,48,169,0,25,1,7,7,53
2024-05-07 06:41:29,24,82,47,48,234,0,26,1,7,7,51
2024-05-07 06:46:29,24,82,48,237,233,0,26,1,9,9,61
2024-05-07 06:51:29,24,83,47,48,210,0,26,1,8,8,65
2024-05-07 06:56:29,24,84,47,48,333,0,26,1,8,8,65
2024-05-07 07:01:29,24,84,47,48,704,0,27,1,8,8,68
2024-05-07 07:06:29,25,84,47,48,704,0,27,1,9,9,76
2024-05-07 07:11:29,25,84,47,48,704,0,26,1,10,10,82
2024-05-07 07:16:29,25,84,49,215,704,0,27,1,11,11,92
2024-05-07 07:21:29,25,85,49,228,704,0,28,1,14,14,117
2024-05-07 07:26:29,25,85,47,160,705,0,27,1,13,13,124
2024-05-07 07:31:29,25,85,47,99,704,0,27,1,13,13,120
2024-05-07 07:36:29,25,86,47,48,704,0,29,1,23,23,234
2024-05-07 07:41:29,25,86,47,144,554,0,29,1,27,27,241
2024-05-07 07:46:28,25,85,47,48,320,0,29,1,16,16,191
2024-05-07 07:51:28,25,85,47,48,164,0,28,1,16,16,172
2024-05-07 07:56:28,26,84,47,110,82,0,28,1,13,13,162
2024-05-07 08:01:28,26,83,47,132,27,0,27,0,11,11,154
2024-05-07 08:06:28,26,82,50,159,57,0,26,0,10,10,136
2024-05-07 08:11:28,26,79,47,74,167,0,25,0,8,8,106
2024-05-07 08:16:28,26,76,48,115,323,0,24,0,3,3,87
2024-05-07 08:21:28,25,76,47,93,297,0,24,0,3,3,94
2024-05-07 08:26:28,25,78,51,129,320,0,24,0,4,4,90
2024-05-07 08:31:28,25,79,49,142,366,0,24,0,5,5,86
2024-05-07 08:36:33,25,79,47,118,384,0,26,0,5,5,91
2024-05-07 08:36:33,25,79,47,118,384,0,26,0,5,5,91
2024-05-07 08:41:27,25,80,49,196,359,0,24,0,5,5,87
2024-05-07 08:46:27,25,82,47,55,324,0,25,0,5,5,116
2024-05-07 08:51:27,24,82,57,342,279,0,25,0,4,4,115
2024-05-07 08:56:27,24,83,47,52,264,0,27,0,16,16,375
2024-05-07 09:01:27,24,83,47,50,271,0,26,0,5,5,142
2024-05-07 09:06:27,24,83,48,131,288,4,25,0,6,6,142
2024-05-07 09:11:27,24,83,47,48,314,0,26,0,6,6,127
2024-05-07 09:16:27,24,84,47,112,361,0,26,0,7,7,144
2024-05-07 09:21:27,24,84,47,48,408,0,26,0,6,6,150
2024-05-07 09:26:27,24,83,47,78,476,0,27,1,7,7,164
2024-05-07 09:31:27,24,84,47,48,567,0,27,1,8,8,185
2024-05-07 09:36:27,24,84,47,67,670,0,28,1,7,7,214
2024-05-07 09:41:27,25,85,47,48,704,0,26,0,11,11,240
2024-05-07 09:46:27,25,83,47,48,704,0,26,0,8,8,203
2024-05-07 09:51:26,25,83,47,48,704,0,27,0,7,7,162
2024-05-07 19:48:12,29,79,48,51,4,0,31,1,8,8,35
2024-05-07 19:53:12,29,80,49,234,4,0,31,1,8,8,33
2024-05-07 19:58:12,28,79,47,49,3,0,31,1,8,8,46
2024-05-07 20:03:12,28,80,47,51,3,0,30,1,8,8,44
2024-05-07 20:08:11,28,80,47,52,4,0,30,1,9,9,45
2024-05-07 20:13:11,28,80,49,207,3,0,30,1,8,8,50
2024-05-07 20:18:11,28,80,51,62,3,0,29,1,8,8,46
2024-05-07 20:23:11,28,80,51,59,20,0,29,1,8,8,36
2024-05-07 20:28:11,28,80,51,61,19,0,29,1,8,8,30
2024-05-07 20:33:10,28,80,56,67,4,0,28,1,9,9,30
2024-05-07 20:43:10,28,80,58,75,20,0,28,1,11,11,37
2024-05-07 20:48:11,28,80,59,73,1,0,28,1,12,12,37
2024-05-07 20:53:10,28,80,57,70,17,0,29,1,9,9,40
2024-05-07 20:58:09,28,81,59,75,21,0,28,1,11,11,49
2024-05-07 21:03:09,27,80,61,77,19,0,29,1,10,10,45
2024-05-07 21:08:09,27,80,63,77,20,0,28,1,11,11,44
2024-05-07 21:13:09,27,81,60,74,10,0,28,1,11,11,41
2024-05-07 21:18:09,27,81,59,77,18,0,28,1,12,12,38
2024-05-07 21:28:09,27,81,59,81,16,0,28,1,11,11,42
2024-05-07 21:33:08,27,81,57,73,3,0,28,1,11,11,43
2024-05-07 21:38:08,27,81,57,78,4,0,28,1,11,11,41
2024-05-07 21:43:10,27,81,52,66,13,0,28,1,9,9,37
2024-05-07 21:48:11,27,81,52,64,4,0,27,1,11,11,35
2024-05-07 21:53:07,27,81,49,63,20,0,27,1,10,10,34
2024-05-07 21:58:07,27,81,48,57,15,0,27,1,10,10,34
2024-05-07 22:03:07,27,82,47,51,4,0,27,1,11,11,35
2024-05-07 22:08:07,27,81,48,55,4,0,27,1,10,10,35
2024-05-07 22:13:07,27,81,47,59,13,0,27,1,9,9,32
2024-05-07 22:18:08,27,81,47,51,18,0,28,1,10,10,31
2024-05-07 22:23:07,27,81,47,50,14,0,28,1,11,11,31
2024-05-07 22:28:06,27,81,47,51,20,0,28,1,11,11,35
2024-05-07 22:33:08,27,81,47,48,20,0,28,1,10,10,33
2024-05-07 22:38:06,27,81,47,48,4,0,28,1,11,11,32
2024-05-07 22:43:06,27,81,47,48,4,0,28,1,10,10,44
2024-05-07 22:48:07,27,82,47,48,4,0,29,1,10,10,41
2024-05-07 22:53:06,27,82,46,48,17,0,29,1,10,10,39
2024-05-07 22:58:06,27,82,47,48,20,0,29,1,8,8,40
2024-05-07 23:03:06,27,81,47,48,18,0,28,1,9,9,35
2024-05-07 23:08:06,27,81,47,48,18,0,28,1,9,9,35
2024-05-07 23:13:05,26,81,47,48,4,0,28,1,9,9,30
2024-05-07 23:18:05,26,81,47,48,21,0,28,1,8,8,28
2024-05-07 23:23:05,26,81,47,59,21,0,28,1,10,10,26
2024-05-07 23:28:05,26,81,47,48,4,0,28,1,10,10,26
2024-05-07 23:33:05,26,81,47,48,4,0,27,1,9,9,26
2024-05-07 23:38:05,26,81,47,48,20,0,28,1,10,10,27
2024-05-07 23:43:05,26,81,47,48,20,0,27,1,9,9,29
2024-05-07 23:48:05,26,81,47,48,14,0,27,1,10,10,29
2024-05-07 23:53:05,26,81,47,48,20,0,27,1,9,9,28
2024-05-07 23:58:05,26,81,47,48,12,0,27,1,9,9,29
2024-05-08 00:03:04,26,82,47,48,10,0,27,1,10,10,29
2024-05-08 00:08:04,26,82,47,48,10,0,27,1,10,10,31
2024-05-08 00:13:04,26,81,47,48,10,0,26,1,10,10,32
2024-05-08 00:18:04,26,81,47,48,20,0,27,1,11,11,36
2024-05-08 00:23:04,26,82,47,48,4,0,27,1,10,10,32
2024-05-08 00:28:04,26,83,47,48,14,0,28,1,11,11,39
2024-05-08 00:33:04,26,82,47,48,14,0,27,1,11,11,42
2024-05-08 00:38:04,26,81,47,48,12,0,27,1,10,10,41
2024-05-08 00:43:04,26,81,47,48,13,0,28,1,10,10,41
